Mulher	prop	mulher
de	prp	de
32	num	32
anos	n	ano
,	punc	,
saudável	adj	saudável
.	punc	.
Apresentou	v-fin	apresentar
,	punc	,
a	prp	a
o	art	o
longo	adj	longo
de	prp	de
um	art	um
mês	n	mês
,	punc	,
episódios	n	episódio
diários	adj	diário
de	prp	de
dor	n	dor
tipo	n	tipo
fisgada	v-pcp	fisgar
,	punc	,
em	prp	em
a	art	o
face	n	face
posterior	adj	posterior
de	prp	de
o	art	o
pavilhão	n	pavilhão
auricular	adj	auricular
esquerdo	adj	esquerdo
com	prp	com
hipersensibilidade	n	hipersensibilidade
a	prp	a
o	art	o
toque	n	toque
em	prp	em
a	art	o
zona	n	zona
dolorosa	adj	doloroso
.	punc	.
Duravam	prp	duravam
5	num	5
segundos	n	segundo
,	punc	,
e	conj-c	e
desapareciam	v-fin	desaparecer
após	prp	após
um	art	um
movimento	n	movimento
involuntário	adj	involuntário
,	punc	,
posterior	adj	posterior
,	punc	,
de	prp	de
o	art	o
pavilhão	n	pavilhão
auricular	adj	auricular
,	punc	,
com	prp	com
estalido	n	estalido
.	punc	.
Sem	prp	sem
factores	n	factor
precipitantes	adj	precipitante
,	punc	,
ou	conj-c	ou
pontos	n	ponto
de	prp	de
gatilho	n	gatilho
.	punc	.
Após	prp	após
um	art	um
período	n	período
inicial	adj	inicial
em	prp	em
que	pron-indp	que
tinha	v-fin	ter
vários	pron-det	vários
episódios	n	episódio
diários	adj	diário
,	punc	,
houve	v-fin	haver
diminuição	n	diminuição
de	prp	de
a	art	o
frequência	n	frequência
e	conj-c	e
modificação	n	modificação
de	prp	de
as	art	o
características	n	característica
de	prp	de
os	art	o
mesmos	pron-det	mesmo
.	punc	.
Actualmente	adv	actualmente
tem	v-fin	ter
episódios	n	episódio
com	prp	com
duração	n	duração
de	prp	de
5-10	num	5-10
segundos	n	segundo
,	punc	,
de	prp	de
sensação	n	sensação
de	prp	de
pressão	n	pressão
em	prp	em
o	art	o
pavilhão	n	pavilhão
auricular	adj	auricular
esquerdo	adj	esquerdo
,	punc	,
com	prp	com
hiperestesia	n	hiperestesia
local	adj	local
,	punc	,
que	pron-indp	que
desaparecem	v-fin	desaparecer
após	prp	após
o	art	o
movimento	n	movimento
involuntário	adj	involuntário
de	prp	de
o	art	o
pavilhão	n	pavilhão
auricular	adj	auricular
.	punc	.
Foi	v-fin	ser
excluída	v-pcp	excluir
patologia	n	patologia
intra-craniana	adj	intra-craniano
,	punc	,
de	prp	de
o	art	o
ouvido	n	ouvido
,	punc	,
parótida	v-pcp	parótidar
,	punc	,
dentes	n	dente
e	conj-c	e
articulação	n	articulação
temporo-mandibular	adj	temporo-mandibular
.	punc	.
Foi	v-fin	ser
medicada	v-pcp	medicar
com	prp	com
200	num	200
mg	n	mg
de	prp	de
gabapentina	n	gabapentina
com	prp	com
diminuição	n	diminuição
de	prp	de
a	art	o
intensidade	n	intensidade
e	conj-c	e
de	prp	de
a	art	o
frequência	n	frequência
de	prp	de
os	art	o
episódios	n	episódio
.	punc	.
