Doente	adv	doente
de	prp	de
57	num	57
anos	n	ano
,	punc	,
com	prp	com
história	n	história
familiar	adj	familiar
sugestiva	adj	sugestivo
de	prp	de
DFTvc	prop	dftvc
,	punc	,
apresentava	v-fin	apresentar
sintomatologia	n	sintomatologia
clinica	prp	clinica
predominante	n	predominante
caraterizada	v-pcp	caraterizadar
por	prp	por
o	art	o
desenvolvimento	n	desenvolvimento
progressivo	adj	progressivo
de	prp	de
alterações	n	alteração
de	prp	de
o	art	o
comportamento	n	comportamento
.	punc	.
A	art	o
nível	n	nível
imagiológico	adj	imagiológico
observou-	v-fin	observar-
se	pron-pers	se
discreto	adj	discreto
hipometabolismo	n	hipometabolismo
temporal	adj	temporal
mesial	adj	mesial
bilateral	adj	bilateral
e	conj-c	e
parietal	adj	parietal
esquerdo	n	esquerdo
(	punc	(
PET	prop	pet
)	punc	)
,	punc	,
com	prp	com
redução	n	redução
de	prp	de
o	art	o
volume	n	volume
encefálico	adj	encefálico
sem	prp	sem
predomínio	n	predomínio
regional	adj	regional
(	punc	(
RMN-CE	prop	rmn-ce
)	punc	)
.	punc	.
O	art	o
primeiro	adj	primeiro
estudo	n	estudo
neuropsicológico	adj	neuropsicológico
mostrou	v-fin	mostrar
disfunção	n	disfunção
executiva	adj	executivo
e	conj-c	e
defeito	n	defeito
de	prp	de
memória	n	memória
,	punc	,
com	prp	com
agravamento	n	agravamento
de	prp	de
a	art	o
disfunção	n	disfunção
executiva	adj	executivo
após	prp	após
2	num	2
anos	n	ano
.	punc	.
O	art	o
estudo	n	estudo
genético	adj	genético
revelou	v-fin	revelar
variante	adj	variante
c.	n	c.
1544G>C	punc	1544g>c
em	prp	em
heterozigotia	n	heterozigotia
em	prp	em
o	art	o
gene	n	gene
GRN	prop	grn
.	punc	.
