Doente	adv	doente
de	prp	de
o	art	o
sexo	n	sexo
feminino	adj	feminino
,	punc	,
51	num	51
anos	n	ano
,	punc	,
sem	prp	sem
história	n	história
familiar	adj	familiar
de	prp	de
demência	n	demência
,	punc	,
com	prp	com
quadro	n	quadro
com	prp	com
dois	num	dois
anos	n	ano
de	prp	de
evolução	n	evolução
e	conj-c	e
com	prp	com
agravamento	n	agravamento
progressivo	adj	progressivo
de	prp	de
dificuldade	n	dificuldade
em	prp	em
a	art	o
manipulação	n	manipulação
de	prp	de
objetos	n	objeto
e	conj-c	e
realização	n	realização
de	prp	de
tarefas	n	tarefa
,	punc	,
associadas	v-pcp	associar
a	prp	a
apatia	n	apatia
e	conj-c	e
movimentos	n	movimento
involuntários	adj	involuntário
.	punc	.
O	art	o
exame	n	exame
neurológico	adj	neurológico
confirmou	v-fin	confirmar
a	art	o
presença	n	presença
de	prp	de
apraxia	n	apraxia
ideo-motora	adj	ideo-motor
bilateral	adj	bilateral
e	conj-c	e
de	prp	de
movimentos	n	movimento
involuntários	adj	involuntário
de	prp	de
o	art	o
tipo	n	tipo
coreiforme	adj	coreiforme
.	punc	.
Em	prp	em
A	art	o
avaliação	n	avaliação
neuropsicológica	adj	neuropsicológica
,	punc	,
a	art	o
pontuação	n	pontuação
em	prp	em
o	art	o
MMSE	prop	mmse
(	punc	(
21/30	num	21/30
)	punc	)
e	conj-c	e
em	prp	em
a	art	o
ADASCOG	prop	adascog
(	punc	(
21/60	num	21/60
)	punc	)
eram	v-fin	ser
compatíveis	adj	compatível
com	prp	com
demência	n	demência
e	conj-c	e
em	prp	em
a	art	o
avaliação	n	avaliação
compreensiva	adj	compreensivo
observou	v-fin	observar
se	pron-pers	se
discurso	n	discurso
com	prp	com
anomia	n	anomia
e	conj-c	e
parafasias	n	parafasia
(	punc	(
afasia	n	afasia
posterior	adj	posterior
)	punc	)
e	conj-c	e
defeitos	n	defeito
marcados	v-pcp	marcar
parietais	adj	parietal
(	punc	(
apraxia	n	apraxia
e	conj-c	e
defeito	n	defeito
construtivo	adj	construtivo
e	conj-c	e
de	prp	de
orientação	n	orientação
)	punc	)
e	conj-c	e
temporais	n	temporal
posteriores	adj	posterior
(	punc	(
agrafia	n	agrafia
e	conj-c	e
discalculia	n	discalculia
)	punc	)
.	punc	.
Estudo	n	estudo
analítico	adj	analítico
negativo	adj	negativo
para	prp	para
etiologia	n	etiologia
metabólica	adj	metabólica
,	punc	,
infeciosa	adj	infeciosa
ou	conj-c	ou
neoplásica	adj	neoplásica
.	punc	.
A	art	o
Ressonância	n	ressonância
magnética	adj	magnética
cerebral	n	cerebral
revelou	v-fin	revelar
marcada	v-pcp	marcar
atrofia	n	atrofia
parietal	adj	parietal
bilateral	adj	bilateral
simétrica	adj	simétrica
,	punc	,
associada	v-pcp	associar
a	prp	a
ligeira	n	ligeira
atrofia	adj	atrofia
frontal	adj	frontal
e	conj-c	e
temporal	adj	temporal
bilateral	adj	bilateral
;	punc	;
o	art	o
SPECT	prop	spect
cerebral	adj	cerebral
identificou	v-fin	identificar
marcada	v-pcp	marcar
hipoperfusão	n	hipoperfusão
parietal	adj	parietal
bilateral	adj	bilateral
,	punc	,
com	prp	com
predomínio	n	predomínio
direito	adj	direito
,	punc	,
associada	v-pcp	associar
a	prp	a
ligeira	n	ligeira
hipoperfusão	n	hipoperfusão
frontal	adj	frontal
e	conj-c	e
temporal	adj	temporal
bilateral	adj	bilateral
;	punc	;
Estudo	n	estudo
de	prp	de
biomarcadores	n	biomarcador
em	prp	em
o	art	o
LCR	prop	lcr
revelou	v-fin	revelar
diminuição	n	diminuição
de	prp	de
ß-Amilóide	prop	ß-amilóide
(	punc	(
122,7	num	122,7
pg	n	pg
/	punc	/
ml	n	ml
)	punc	)
e	conj-c	e
aumento	n	aumento
de	prp	de
proteína	n	proteína
Tau	prop	tau
(	punc	(
1106,8pg	num	1106,8pg
/	punc	/
ml	n	ml
)	punc	)
.	punc	.
Estudo	n	estudo
de	prp	de
mutações	n	mutação
genéticas	adj	genética
para	prp	para
doença	n	doença
de	prp	de
Huntington	prop	huntington
,	punc	,
DPRLA	prop	dprla
,	punc	,
SCA17	prop	sca17
,	punc	,
Progranulina	prop	progranulina
,	punc	,
Neuroferritinopatia	prop	neuroferritinopatia
e	conj-c	e
Doença	prop	doença
de	prp	de
Alzheimer	prop	alzheimer
negativo	adj	negativo
.	punc	.
Foi	v-fin	ser
instituído	v-pcp	instituir
tratamento	n	tratamento
com	prp	com
anti-colinesterásico	n	anti-colinesterásico
com	prp	com
estabilização	n	estabilização
clínica	adj	clínica
.	punc	.
