Doente	adv	doente
de	prp	de
o	art	o
sexo	n	sexo
feminino	adj	feminino
de	prp	de
59	num	59
anos	n	ano
de	prp	de
idade	n	idade
,	punc	,
com	prp	com
diagnóstico	n	diagnóstico
de	prp	de
epilepsia	n	epilepsia
desde	prp	desde
os	art	o
7	num	7
anos	n	ano
de	prp	de
idade	n	idade
,	punc	,
com	prp	com
agravamento	n	agravamento
de	prp	de
a	art	o
frequência	n	frequência
de	prp	de
as	art	o
crises	n	crise
desde	prp	desde
os	art	o
15	num	15
anos	n	ano
.	punc	.
Fez	prop	fez
RMNCE	punc	rmnce
que	pron-indp	que
identificou	v-fin	identificar
uma	art	um
área	n	área
de	prp	de
displasia	n	displasia
focal	adj	focal
a	prp	a
nível	n	nível
de	prp	de
a	art	o
área	n	área
motora	adj	motor
suplementar	adj	suplementar
direita	n	direita
e	conj-c	e
monitorização	n	monitorização
com	prp	com
VEEG	prop	veeg
de	prp	de
superfície	n	superfície
que	pron-indp	que
revelou	v-fin	revelar
actividade	n	actividade
ictal	adj	ictal
frontocentral	adj	frontocentral
mediana	n	mediana
.	punc	.
