Doente	adv	doente
de	prp	de
o	art	o
sexo	n	sexo
feminino	adj	feminino
de	prp	de
63	num	63
anos	n	ano
de	prp	de
idade	n	idade
que	pron-indp	que
sofreu	v-fin	sofrer
acidente	n	acidente
vascular	adj	vascular
cerebral	adj	cerebral
hemorrágico	adj	hemorrágico
temporo-parietal	n	temporo-parietal
esquerdo	adj	esquerdo
de	prp	de
que	pron-indp	que
resultou	v-fin	resultar
perda	n	perda
de	prp	de
força	n	força
em	prp	em
o	art	o
hemicorpo	n	hemicorpo
direito	adj	direito
e	conj-c	e
afasia	v-pcp	afaser
transcortical	adj	transcortical
sensorial	adj	sensorial
.	punc	.
Apresenta	v-fin	apresentar
se	pron-pers	se
a	art	o
análise	n	análise
linguística	adj	linguística
de	prp	de
o	art	o
discurso	n	discurso
com	prp	com
base	n	base
em	prp	em
a	art	o
descrição	n	descrição
de	prp	de
a	art	o
imagem	n	imagem
ladrão	n	ladrão
de	prp	de
biscoitos	n	biscoito
de	prp	de
Goodglass	prop	goodglass
e	conj-c	e
Kaplan	prop	kaplan
,	punc	,
1972	num	1972
,	punc	,
e	conj-c	e
de	prp	de
o	art	o
relato	n	relato
de	prp	de
o	art	o
livro	n	livro
A	art	o
história	n	história
de	prp	de
o	art	o
Senhor	prop	senhor
Sommer	prop	sommer
de	prp	de
Patrick	prop	patrick
Suskind	prop	suskind
.	punc	.
Como	prp	como
critérios	n	critério
de	prp	de
segmentação	n	segmentação
de	prp	de
enunciados	n	enunciado
utilizaram	v-fin	utilizar
se	pron-pers	se
as	art	o
regras	n	regra
de	prp	de
Lund	prop	lund
e	conj-c	e
Duchan	prop	duchan
de	prp	de
1988	num	1988
.	punc	.
