Descrevemos	v-fin	descrever
quatro	num	quatro
casos	n	caso
clínicos	adj	clínico
de	prp	de
"	punc	"
doença	n	doença
de	prp	de
Wilson	prop	wilson
"	punc	"
,	punc	,
todos	pron-det	todo
eles	pron-pers	ele
irmãos	n	irmão
de	prp	de
uma	art	um
fratria	n	fratria
de	prp	de
três	num	três
homens	n	homem
e	conj-c	e
duas	num	dois
mulheres	n	mulher
.	punc	.
O	art	o
primeiro	adj	primeiro
caso	n	caso
é	v-fin	ser
um	art	um
indivíduo	n	indivíduo
de	prp	de
sexo	n	sexo
masculino	adj	masculino
,	punc	,
JAPN	prop	japn
,	punc	,
de	prp	de
33	num	33
anos	n	ano
de	prp	de
idade	n	idade
,	punc	,
que	pron-indp	que
refere	v-fin	referir
queixas	n	queixa
de	prp	de
astenia	n	astenia
e	conj-c	e
síndrome	n	síndrome
depressivo	adj	depressivo
de	prp	de
início	n	início
em	prp	em
2002	num	2002
.	punc	.
Em	prp	em
Agosto	n	agosto
inicia	v-fin	iniciar
um	art	um
quadro	n	quadro
de	prp	de
discinésias	n	discinésia
de	prp	de
o	art	o
hemicorpo	n	hemicorpo
direito	adj	direito
,	punc	,
tremor	n	tremor
de	prp	de
repouso	n	repouso
e	conj-c	e
intencional	adj	intencional
em	prp	em
ambos	pron-det	ambos
os	art	o
membros	n	membro
superiores	adj	superior
e	conj-c	e
desequilíbrio	adj	desequilíbrio
.	punc	.
Foi	v-fin	ser
observado	v-pcp	observar
por	prp	por
nós	pron-pers	nós
em	prp	em
Janeiro	n	janeiro
de	prp	de
2003	num	2003
e	conj-c	e
apresentava	v-fin	apresentar
discretas	adj	discreto
discinésias	n	discinésia
de	prp	de
o	art	o
membro	n	membro
inferior	adj	inferior
direito	n	direito
,	punc	,
rigidez	n	rigidez
e	conj-c	e
tremor	n	tremor
de	prp	de
repouso	n	repouso
e	conj-c	e
intencional	adj	intencional
em	prp	em
os	art	o
quatro	num	quatro
membros	n	membro
,	punc	,
marcha	n	marcha
de	prp	de
base	n	base
alargada	v-pcp	alargar
e	conj-c	e
voz	n	voz
escândida	v-pcp	escândidar
.	punc	.
Realizou	v-fin	realizar
RM-CE	prop	rm-ce
que	pron-indp	que
revelou	v-fin	revelar
hipersinal	n	hipersinal
inexpecífico	adj	inexpecífico
em	prp	em
o	art	o
estriado	n	estriado
.	punc	.
Laboratorialmente	adv	laboratorialmente
apresentou	v-fin	apresentar
cuprúria	n	cuprúria
aumentada	v-pcp	aumentar
,	punc	,
ceruloplasmina	v-fin	ceruloplasminar
ausente	adj	ausente
,	punc	,
cuprémia	n	cuprémia
baixa	adj	baixo
,	punc	,
trombocitopénia	n	trombocitopénia
e	conj-c	e
aumento	n	aumento
moderado	v-pcp	moderar
de	prp	de
a	art	o
enzimologia	n	enzimologia
hepática	adj	hepática
.	punc	.
Apresenta	v-fin	apresentar
anel	n	anel
de	prp	de
Kayser-Fleischer	prop	kayser-fleischer
e	conj-c	e
cirrose	n	cirrose
hepática	adj	hepática
.	punc	.
O	art	o
segundo	adj	segundo
caso	n	caso
é	v-fin	ser
um	art	um
indivíduo	n	indivíduo
de	prp	de
o	art	o
sexo	n	sexo
masculino	adj	masculino
,	punc	,
APPN	prop	appn
,	punc	,
de	prp	de
31	num	31
anos	n	ano
de	prp	de
idade	n	idade
.	punc	.
O	art	o
exame	n	exame
neurológico	adj	neurológico
,	punc	,
realizado	v-pcp	realizar
em	prp	em
Fevereiro	n	fevereiro
de	prp	de
2003	num	2003
,	punc	,
revelou	v-fin	revelar
rigidez	n	rigidez
de	prp	de
grau	n	grau
1	num	1
.	punc	.
Laboratorialmente	adv	laboratorialmente
apresentou	v-fin	apresentar
cuprúria	n	cuprúria
aumentada	v-pcp	aumentar
,	punc	,
cuprémia	n	cuprémia
baixa	adj	baixo
e	conj-c	e
ceruloplasmina	adj	ceruloplasmina
