Doente	adv	doente
de	prp	de
38	num	38
anos	n	ano
com	prp	com
quadro	n	quadro
clínico	adj	clínico
iniciado	v-pcp	iniciar
há	v-fin	haver
cerca	adv	cerca
de	prp	de
10	num	10
anos	n	ano
e	conj-c	e
caracterizado	n	caracterizado
,	punc	,
inicialmente	adv	inicialmente
,	punc	,
por	prp	por
tremor	n	tremor
axial	adj	axial
e	conj-c	e
de	prp	de
os	art	o
membros	n	membro
,	punc	,
disartria	v-fin	disartrer
,	punc	,
pseudo-distónia	n	pseudo-distónia
,	punc	,
alteração	n	alteração
progressiva	adj	progressivo
de	prp	de
o	art	o
comportamento	n	comportamento
(	punc	(
tendência	n	tendência
a	prp	a
o	art	o
isolamento	n	isolamento
)	punc	)
e	conj-c	e
queixas	n	queixa
vagas	adj	vago
de	prp	de
perda	n	perda
de	prp	de
memória	n	memória
.	punc	.
Dois	num	dois
anos	n	ano
depois	adv	depois
o	art	o
quadro	n	quadro
agravar	v-inf	agravar
se	pron-pers	se
com	prp	com
alterações	n	alteração
mais	adv	mais
severas	pron-det	severo
de	prp	de
a	art	o
memória	n	memória
,	punc	,
alteração	n	alteração
de	prp	de
a	art	o
personalidade	n	personalidade
(	punc	(
interesse	n	interesse
por	prp	por
livros	n	livro
de	prp	de
parapsicologia	n	parapsicologia
que	pron-indp	que
lê	v-fin	ler
repetidamente	adv	repetidamente
,	punc	,
desinteresse	v-fin	desinteressar
por	prp	por
qualquer	pron-det	qualquer
outro	pron-det	outro
tipo	n	tipo
de	prp	de
actividade	n	actividade
,	punc	,
irritável	adj	irritável
,	punc	,
desconfiado	v-pcp	desconfiar
,	punc	,
paranóico	adj	paranóico
)	punc	)
,	punc	,
disartria	v-fin	disartrer
mais	adv	mais
severa	n	severa
,	punc	,
discurso	n	discurso
pobre	adj	pobre
,	punc	,
de	prp	de
baixo	adj	baixo
débito	n	débito
,	punc	,
ataxia	n	ataxia
cinética	adj	cinética
(	punc	(
marcha	n	marcha
e	conj-c	e
membros	n	membro
)	punc	)
e	conj-c	e
postural	adj	postural
.	punc	.
Desde	prp	desde
os	art	o
34	num	34
anos	n	ano
de	prp	de
idade	n	idade
que	pron-indp	que
o	art	o
quadro	n	quadro
de	prp	de
alterações	n	alteração
neurológicas	adj	neurológica
multifocais	adj	multifocal
se	pron-pers	se
agrava	v-fin	agravar
,	punc	,
de	prp	de
forma	n	forma
mais	adv	mais
severa	adj	severo
,	punc	,
com	prp	com
demência	n	demência
progressiva	adj	progressivo
(	punc	(
MMSE	prop	mmse
20	num	20
a	prp	a
os	art	o
34	num	34
anos	n	ano
e	conj-c	e
12	num	12
a	prp	a
os	art	o
36	num	36
anos	n	ano
)	punc	)
,	punc	,
alteração	n	alteração
de	prp	de
a	art	o
linguagem	n	linguagem
(	punc	(
afasia	n	afasia
)	punc	)
,	punc	,
diminuição	n	diminuição
de	prp	de
a	art	o
acuidade	n	acuidade
visual	adj	visual
(	punc	(
atrofia	n	atrofia
óptica	adj	óptica
)	punc	)
,	punc	,
descoordenação	n	descoordenação
de	prp	de
todos	pron-det	todo
os	art	o
movimentos	n	movimento
,	punc	,
ataxia	n	ataxia
/	punc	/
tremor	n	tremor
estático	adj	estático
e	conj-c	e
