Mulher	pron-det	mulher
de	prp	de
36	num	36
anos	n	ano
,	punc	,
sem	prp	sem
história	n	história
de	prp	de
traumatismos	n	traumatismo
que	pron-indp	que
recorre	v-fin	recorrer
a	prp	a
o	art	o
serviço	n	serviço
de	prp	de
urgência	n	urgência
por	prp	por
quadro	n	quadro
agudo	adv	agudo
de	prp	de
cefaleias	n	cefaleia
intensas	adj	intenso
que	pron-indp	que
surgiam	v-fin	surgir
em	prp	em
ortostatismo	n	ortostatismo
,	punc	,
de	prp	de
predomínio	n	predomínio
em	prp	em
a	art	o
nuca	adj	nuca
,	punc	,
intensas	adj	intenso
,	punc	,
agravadas	v-pcp	agravar
com	prp	com
a	art	o
tosse	n	tosse
e	conj-c	e
associada	v-pcp	associar
a	prp	a
mal	adv	mal
estar	v-inf	estar
generalizado	v-pcp	generalizar
e	conj-c	e
hipersudorese	n	hipersudorese
.	punc	.
As	art	o
cefaleias	n	cefaleia
desapareciam	v-fin	desaparecer
em	prp	em
decúbito	n	decúbito
.	punc	.
O	art	o
exame	n	exame
neurológico	adj	neurológico
era	v-fin	ser
normal	adj	normal
.	punc	.
A	art	o
RMN	prop	rmn
encefálica	v-fin	encefáliquir>
e	conj-c	e
medular	v-inf	medular
evidenciou	v-fin	evidenciar
sem	prp	sem
contraste	n	contraste
:	punc	:
finas	n	fina
e	conj-c	e
extensas	adj	extenso
colecções	n	colecção
subdurais	adj	subdural
bilaterais	adj	bilateral
,	punc	,
com	prp	com
sinal	n	sinal
superior	adj	superior
a	prp	a
o	art	o
liquor	n	liquor
em	prp	em
T1	prop	t1
e	conj-c	e
FLAIR	prop	flair
,	punc	,
apagamento	n	apagamento
de	prp	de
os	art	o
sulcos	n	sulco
de	prp	de
a	art	o
convexidade	n	convexidade
,	punc	,
sistema	n	sistema
ventricular	adj	ventricular
de	prp	de
dimensões	n	dimensão
normais	adv	normais
,	punc	,
hipófise	n	hipófise
globosa	adj	globoso
e	conj-c	e
abaulamento	n	abaulamento
de	prp	de
o	art	o
diafragma	n	diafragma
selar	adj	selar
com	prp	com
conservação	n	conservação
de	prp	de
a	art	o
posição	n	posição
de	prp	de
o	art	o
quiasma	n	quiasma
óptico	adj	óptico
,	punc	,
descida	v-pcp	descer
de	prp	de
as	art	o
estruturas	n	estrutura
de	prp	de
a	art	o
fossa	n	fossa
posterior	adj	posterior
incluindo	v-ger	incluir
amidgalas	n	amidgala
cerebelosas	adj	cerebelosa
insinuando	v-ger	insinuar
se	pron-pers	se
em	prp	em
o	art	o
buraco	n	buraco
magno	adj	magno
;	punc	;
RMN	prop	rmn
após	prp	após
contraste	n	contraste
:	punc	:
hipercaptação	n	hipercaptação
difusa	adj	difuso
de	prp	de
as	art	o
meninges	n	meninge
estendendo	v-ger	estender
se	pron-pers	se
a	prp	a
o	art	o
ráquis	n	ráqul
cervical	adj	cervical
.	punc	.
Fez	prop	fez
tratamento	n	tratamento
médico	adj	médico
(	punc	(
repouso	n	repouso
em	prp	em
decúbito	n	decúbito
e	conj-c	e
hidratação	n	hidratação
abundante	adj	abundante
)	punc	)
,	punc	,
com	prp	com
desaparecimento	n	desaparecimento
completo	adj	completo
de	prp	de
os	art	o
sintomas	n	sintoma
em	prp	em
um	art	um
mês	n	mês
e	conj-c	e
meio	n	meio
.	punc	.
Cerca	adv	cerca
de	prp	de
quatro	num	quatro
meses	n	mÃªs
após	prp	após
o	art	o
inicio	n	inicio
de	prp	de
os	art	o
sintomas	n	sintoma
,	punc	,
repetiu	v-fin	repetir
RMN	prop	rmn
apresentando	v-ger	apresentar
melhoria	n	melhoria
imagiológica	adj	imagiológica
congruente	adv	congruente
com	prp	com
a	art	o
clinica	n	clinica
e	conj-c	e
foi	v-fin	ser
realizada	v-pcp	realizar
mielografia	n	mielografia
por	prp	por
RMN	prop	rmn
que	pron-indp	que
se	pron-pers	se
revelou	v-fin	revelar
normal	adj	normal
.	punc	.
