Doente	adv	doente
de	prp	de
o	art	o
sexo	n	sexo
feminino	adj	feminino
,	punc	,
66	num	66
anos	n	ano
,	punc	,
com	prp	com
AVC	prop	avc
isquémico	adj	isquémico
de	prp	de
o	art	o
território	n	território
de	prp	de
a	art	o
ACM	prop	acm
esquerda	adj	esquerdo
(	punc	(
NIHSS	prop	nihss
14	num	14
)	punc	)
tratado	v-pcp	tratar
com	prp	com
rt-PA	n	rt-pa
EV	prop	ev
(	punc	(
metade	n	metade
de	prp	de
a	art	o
dose	n	dose
prevista	v-pcp	prever
devido	prp	devido
a	art	o
gengivorragia	n	gengivorragia
abundante	adj	abundante
)	punc	)
a	prp	a
os	art	o
180	num	180
minutos	n	minuto
,	punc	,
com	prp	com
NIHSS	n	nihs
4	num	4
em	prp	em
o	art	o
final	n	final
de	prp	de
a	art	o
perfusão	n	perfusão
.	punc	.
A	art	o
2ª	n	2ª
TC	prop	tc
CE	prop	ce
(	punc	(
4º	adj	4º
dia	n	dia
)	punc	)
evidenciou	v-fin	evidenciar
hematoma	n	hematoma
caudado-capsular	adj	caudado-capsular
contralateral	adj	contralateral
a	prp	a
o	art	o
infarto	adj	infarto
cerebral	n	cerebral
e	conj-c	e
leucoaraiosis	n	leucoaraiosil
.	punc	.
Recuperação	n	recuperação
parcial	adj	parcial
:	punc	:
NIHSS	n	nihs
3	num	3
e	conj-c	e
Rankin	prop	rankin
1	num	1
em	prp	em
a	art	o
alta	n	alta
;	punc	;
Rankin	prop	rankin
1	num	1
a	prp	a
os	art	o
3	num	3
meses	n	mÃªs
.	punc	.
