Mulher	prop	mulher
de	prp	de
56	num	56
anos	n	ano
de	prp	de
idade	n	idade
.	punc	.
Episódios	n	episódio
recorrentes	adj	recorrente
de	prp	de
cefaleias	n	cefaleia
orgásmicas	adj	orgásmica
com	prp	com
quatro	num	quatro
anos	n	ano
de	prp	de
evolução	n	evolução
que	pron-indp	que
cedem	v-fin	ceder
espontaneamente	adv	espontaneamente
mas	conj-c	mas
com	prp	com
marcada	pron-det	marcado
influência	n	influência
psicossocial	adj	psicossocial
condicionando	prp	condicionando
a	art	o
simulação	n	simulação
de	prp	de
o	art	o
orgasmo	n	orgasmo
de	prp	de
forma	n	forma
a	prp	a
obter	v-inf	obter
evicção	n	evicção
de	prp	de
a	art	o
sintomatologia	n	sintomatologia
.	punc	.
