Mulher	prop	mulher
de	prp	de
63	num	63
anos	n	ano
,	punc	,
com	prp	com
antecedentes	n	antecedente
de	prp	de
doação	n	doação
de	prp	de
um	art	um
rim	n	rim
e	conj-c	e
depressão	n	depressão
,	punc	,
hipertensão	n	hipertensão
arterial	adj	arterial
e	conj-c	e
dislipidemia	v-fin	dislipidemer
medicadas	n	medicada
,	punc	,
sem	prp	sem
antecedentes	n	antecedente
familiares	adj	familiar
de	prp	de
relevo	n	relevo
,	punc	,
desenvolve	v-fin	desenvolver
cefaleia	n	cefaleia
em	prp	em
fisgada	n	fisgada
"	punc	"
,	punc	,
bilateral	adj	bilateral
,	punc	,
de	prp	de
início	n	início
em	prp	em
a	art	o
região	n	região
pré-auricular	adj	pré-auricular
,	punc	,
com	prp	com
irradiação	n	irradiação
ascendente	adv	ascendente
,	punc	,
duração	n	duração
de	prp	de
segundos	n	segundo
e	conj-c	e
frequência	n	frequência
muito	adv	muito
variável	adj	variável
(	punc	(
até	prp	até
quatro	num	quatro
por	prp	por
dia	n	dia
)	punc	)
,	punc	,
sem	prp	sem
sintomas	n	sintoma
acompanhantes	adj	acompanhante
.	punc	.
Exame	n	exame
neurológico	adj	neurológico
normal	adj	normal
.	punc	.
Foi	v-fin	ser
medicada	v-pcp	medicar
com	prp	com
amitriptilina	n	amitriptilina
5	num	5
mg	n	mg
duas	num	dois
vezes	n	vez
por	prp	por
dia	n	dia
,	punc	,
com	prp	com
melhoria	n	melhoria
.	punc	.
