Puérpera	v-fin	puérper
de	prp	de
42	num	42
anos	n	ano
de	prp	de
idade	n	idade
,	punc	,
com	prp	com
um	art	um
quadro	n	quadro
clínico	adj	clínico
de	prp	de
cefaleia	n	cefaleia
persistente	adv	persistente
,	punc	,
com	prp	com
agravamento	n	agravamento
progressivo	adj	progressivo
,	punc	,
acompanhada	v-pcp	acompanhar
em	prp	em
o	art	o
dia	n	dia
de	prp	de
a	art	o
admissão	n	admissão
de	prp	de
incapacidade	n	incapacidade
para	prp	para
a	art	o
marcha	n	marcha
,	punc	,
hemiparesia	n	hemiparesia
esquerda	adj	esquerdo
e	conj-c	e
alteração	n	alteração
de	prp	de
o	art	o
estado	n	estado
de	prp	de
consciência	n	consciência
.	punc	.
A	art	o
Ressonância	n	ressonância
Magnética	prop	magnética
encefálica	v-fin	encefáliquir>
revelou	v-fin	revelar
uma	art	um
trombose	n	trombose
venosa	adj	venoso
cerebral	adj	cerebral
extensa	adj	extenso
,	punc	,
com	prp	com
múltiplas	n	múltipla
lesões	n	lesão
parenquimatosas	adj	parenquimatoso
bilaterais	adj	bilateral
e	conj-c	e
hemorragia	n	hemorragia
intraventricular	adj	intraventricular
.	punc	.
Foi	v-fin	ser
iniciada	v-pcp	iniciar
terapêutica	n	terapêutica
com	prp	com
heparina	n	heparina
,	punc	,
posteriormente	adv	posteriormente
alterada	v-pcp	alterar
para	prp	para
varfarina	n	varfarina
,	punc	,
observando	v-ger	observar
se	pron-pers	se
marcada	v-pcp	marcar
melhoria	adj	melhoria
clínica	n	clínica
.	punc	.
Uma	num	um
semana	n	semana
após	prp	após
a	art	o
admissão	n	admissão
iniciou	v-fin	iniciar
queixas	n	queixa
de	prp	de
lombalgia	n	lombalgia
com	prp	com
irradiação	n	irradiação
a	prp	a
a	art	o
coxa	n	coxa
direita	adj	direito
.	punc	.
Dias	prop	dias
mais	adv	mais
tarde	adv	tarde
,	punc	,
desenvolveu	v-fin	desenvolver
uma	art	um
parésia	n	parésia
de	prp	de
a	art	o
flexão	n	flexão
e	conj-c	e
adução	n	adução
de	prp	de
a	art	o
coxa	n	coxa
e	conj-c	e
de	prp	de
a	art	o
extensão	n	extensão
de	prp	de
a	art	o
perna	n	perna
a	prp	a
a	art	o
direita	n	direita
,	punc	,
hipoestesia	n	hipoestesia
de	prp	de
a	art	o
face	n	face
interna	adj	interno
de	prp	de
a	art	o
coxa	n	coxa
direita	adj	direito
,	punc	,
arreflexia	v-fin	arreflexer
rotuliana	n	rotuliana
direita	adj	direito
e	conj-c	e
atrofia	n	atrofia
de	prp	de
o	art	o
quadricípite	n	quadricípite
direito	adj	direito
.	punc	.
Uma	art	um
Tomografia	n	tomografia
Computorizada	v-pcp	computar
de	prp	de
a	art	o
coluna	n	coluna
lombar	adj	lombar
,	punc	,
e	conj-c	e
posteriormente	adv	posteriormente
pélvica	adj	pélvica
,	punc	,
mostrou	v-fin	mostrar
um	art	um
hematoma	n	hematoma
extenso	adj	extenso
de	prp	de
o	art	o
músculo	n	músculo
psoas-ilíaco	adj	psoa-ilíaco
direito	n	direito
,	punc	,
sendo	v-ger	ser
o	art	o
défice	n	défice
neurológico	adj	neurológico
observado	v-pcp	observar
compatível	adj	compatível
com	prp	com
uma	art	um
provável	adj	provável
compressão	n	compressão
de	prp	de
o	art	o
plexo	n	plexo
lombar	adj	lombar
direito	n	direito
por	prp	por
o	art	o
hematoma	n	hematoma
.	punc	.
O	art	o
valor	n	valor
de	prp	de
INR	prop	inr
encontrava	v-fin	encontrar
se	pron-pers	se
dentro	adv	dentro
de	prp	de
o	art	o
intervalo	n	intervalo
terapêutico	adj	terapêutico
pretendido	v-pcp	pretender
.	punc	.
Não	adv	não
obstante	v-fin	obstar
o	art	o
risco	n	risco
de	prp	de
sequelas	n	sequela
neurológicas	adj	neurológica
permanentes	adj	permanente
devido	v-pcp	dever
a	prp	a
a	art	o
lesão	n	lesão
periférica	adj	periférica
,	punc	,
o	art	o
risco	n	risco
de	prp	de
a	art	o
suspensão	n	suspensão
de	prp	de
a	art	o
anticoagulação	n	anticoagulação
em	prp	em
uma	art	um
doente	adj	doente
com	prp	com
trombose	n	trombose
venosa	adj	venoso
cerebral	adj	cerebral
extensa	n	extensa
foi	v-fin	ser
considerado	v-pcp	considerar
mais	adv	mais
elevado	v-pcp	elevar
,	punc	,
por	prp	por
o	pron-det	o
que	pron-indp	que
se	pron-pers	se
optou	v-fin	optar
por	prp	por
uma	art	um
abordagem	n	abordagem
conservadora	adj	conservador
e	conj-c	e
a	art	o
anticoagulação	n	anticoagulação
foi	v-fin	ser
mantida	v-pcp	manter
.	punc	.
Ocorreu	v-fin	ocorrer
uma	art	um
melhoria	n	melhoria
clínica	adj	clínica
marcada	v-pcp	marcar
,	punc	,
mantendo	v-ger	manter
,	punc	,
um	num	um
ano	n	ano
depois	adv	depois
,	punc	,
uma	art	um
ligeira	n	ligeira
parésia	adj	parésia
de	prp	de
a	art	o
flexão	n	flexão
de	prp	de
a	art	o
coxa	n	coxa
e	conj-c	e
de	prp	de
a	art	o
extensão	n	extensão
de	prp	de
o	art	o
joelho	n	joelho
e	conj-c	e
uma	art	um
ligeira	n	ligeira
atrofia	adj	atrofia
de	prp	de
o	art	o
quadricípite	n	quadricípite
a	prp	a
a	art	o
direita	n	direita
,	punc	,
sem	prp	sem
limitação	n	limitação
funcional	adj	funcional
.	punc	.
