Homem	n	homem
de	prp	de
70	num	70
anos	n	ano
,	punc	,
reformado	v-pcp	reformar
(	punc	(
ex-polícia	n	ex-polícia
)	punc	)
,	punc	,
com	prp	com
hipertensão	n	hipertensão
arterial	adj	arterial
e	conj-c	e
dislipidemia	v-fin	dislipidemer
.	punc	.
Esteve	v-fin	estar
internado	v-pcp	internar
em	prp	em
Junho	n	junho
de	prp	de
2009	num	2009
por	prp	por
cefaleia	n	cefaleia
occipital	adj	occipital
esquerda	adj	esquerdo
com	prp	com
irradiação	n	irradiação
frontal	adj	frontal
e	conj-c	e
peri-orbitária	adj	peri-orbitária
homolateral	n	homolateral
,	punc	,
a	prp	a
a	art	o
qual	pron-det	qual
se	pron-pers	se
associou	v-fin	associar
alteração	n	alteração
de	prp	de
a	art	o
sensibilidade	n	sensibilidade
de	prp	de
o	art	o
hemicorpo	n	hemicorpo
direito	adj	direito
e	conj-c	e
alteração	n	alteração
visual	adj	visual
.	punc	.
Verificou	v-fin	verificar
se	pron-pers	se
recuperação	n	recuperação
clínica	adj	clínica
,	punc	,
tendo	v-ger	ter
alta	n	alta
após	prp	após
cinco	num	cinco
dias	n	dia
,	punc	,
sem	prp	sem
qualquer	pron-det	qualquer
defeito	n	defeito
neurológico	adj	neurológico
.	punc	.
Em	prp	em
Agosto	n	agosto
de	prp	de
2009	num	2009
recorreu	v-fin	recorrer
a	art	o
o	art	o
Serviço	prop	serviço
Urgência	punc	urgência
por	prp	por
instalação	n	instalação
súbita	adj	súbita
de	prp	de
falta	n	falta
de	prp	de
força	n	força
de	prp	de
o	art	o
membro	n	membro
inferior	adj	inferior
direito	n	direito
com	prp	com
início	n	início
há	prp	há
30	num	30
horas	n	hora
,	punc	,
em	prp	em
o	art	o
mesmo	pron-det	mesmo
dia	n	dia
em	prp	em
que	pron-indp	que
levou	v-fin	levar
a	art	o
mulher	n	mulher
a	prp	a
o	art	o
Hospital	prop	hospital
,	punc	,
por	prp	por
descompensação	n	descompensação
clínica	adj	clínica
em	prp	em
o	art	o
contexto	n	contexto
de	prp	de
neoplasia	n	neoplasia
metastizada	adj	metastizada
.	punc	.
Referia	v-fin	referir
estar	v-inf	estar
paralisado	v-pcp	paralisar
de	prp	de
o	art	o
membro	n	membro
inferior	adj	inferior
direito	n	direito
,	punc	,
com	prp	com
incapacidade	n	incapacidade
para	prp	para
a	art	o
marcha	n	marcha
e	conj-c	e
limitação	n	limitação
total	adj	total
para	prp	para
as	art	o
actividades	n	actividade
de	prp	de
vida	n	vida
diária	adj	diária
.	punc	.
Em	prp	em
O	art	o
exame	n	exame
neurológico	adj	neurológico
verificou	v-fin	verificar
se	pron-pers	se
inconsistência	n	inconsistência
de	prp	de
o	art	o
defeito	n	defeito
referido	v-pcp	referir
:	punc	:
não	adv	não
mobilizava	v-fin	mobilizar
o	art	o
membro	n	membro
inferior	adj	inferior
espontaneamente	adv	espontaneamente
ou	pron-det	ou
sob	prp	sob
comando	n	comando
quando	adv	quando
estava	v-fin	estar
deitado	v-pcp	deitar
,	punc	,
mas	conj-c	mas
posteriormente	adv	posteriormente
,	punc	,
após	prp	após
insistência	n	insistência
,	punc	,
foi	v-fin	ser
