Homem	n	homem
de	prp	de
34	num	34
anos	n	ano
com	prp	com
antecedentes	n	antecedente
de	prp	de
diabetes	n	diabetes
tipo	n	tipo
1	num	1
,	punc	,
dislipidémia	n	dislipidémia
,	punc	,
doença	n	doença
arterial	adj	arterial
periférica	adj	periférica
e	conj-c	e
défice	n	défice
de	prp	de
ácido	art	ácido
fólico	n	fólico
,	punc	,
sob	prp	sob
reposição	n	reposição
,	punc	,
com	prp	com
consumo	n	consumo
de	prp	de
canabinóides	n	canabinóide
3	num	3
vezes	n	vez
/	punc	/
dia	n	dia
.	punc	.
Foi	adv	foi
admitido	v-pcp	admitir
por	prp	por
cefaleia	n	cefaleia
súbita	adj	súbita
fronto-parietal	n	fronto-parietal
direita	adj	direito
de	prp	de
intensidade	n	intensidade
moderada	v-pcp	moderar
,	punc	,
que	pron-indp	que
remitiu	v-fin	remitir
durante	prp	durante
o	art	o
internamento	n	internamento
,	punc	,
parésia	n	parésia
facial	adj	facial
central	adj	central
direita	n	direita
e	conj-c	e
disartria	n	disartria
.	punc	.
O	art	o
doente	adj	doente
apresentava	v-fin	apresentar
se	pron-pers	se
hipertenso	n	hipertenso
em	prp	em
a	art	o
admissão	n	admissão
,	punc	,
mas	conj-c	mas
durante	prp	durante
o	art	o
internamento	n	internamento
manteve	v-fin	manter
se	pron-pers	se
normotenso	adj	normotenso
,	punc	,
sem	prp	sem
necessidade	n	necessidade
de	prp	de
anti-hipertensores	n	anti-hipertensor
.	punc	.
A	art	o
TC-CE	prop	tc-ce
mostrou	v-fin	mostrar
hipodensidade	n	hipodensidade
caudado-radiária	adj	caudado-radiária
e	conj-c	e
lentículo-capsular	adj	lentículo-capsular
anterior	adj	anterior
a	prp	a
a	pron-det	o
esquerda	n	esquerda
,	punc	,
compatível	adj	compatível
com	prp	com
isquémia	n	isquémia
de	prp	de
o	art	o
território	n	território
de	prp	de
a	art	o
ACM	prop	acm
esquerda	v-fin	esquerdar
.	punc	.
A	art	o
avaliação	n	avaliação
analítica	adj	analítica
revelou	v-fin	revelar
canabinóides	n	canabinóide
positivos	adj	positivo
em	prp	em
a	art	o
urina	prop	urina
.	punc	.
O	art	o
estudo	n	estudo
Holter-ECG	prop	holter-ecg
e	conj-c	e
ecocardiograma	n	ecocardiograma
transesofácio	adj	transesofácio
foi	v-fin	ser
negativo	adj	negativo
.	punc	.
A	art	o
angio-RM	n	angio-rm
realizada	v-pcp	realizar
em	prp	em
D1	prop	d1
de	prp	de
internamento	n	internamento
não	adv	não
revelou	v-fin	revelar
alterações	n	alteração
de	prp	de
os	art	o
segmentos	n	segmento
vasculares	adj	vascular
estudados	v-pcp	estudar
,	punc	,
mas	conj-c	mas
o	art	o
estudo	n	estudo
Doppler	prop	doppler
transcraniano	adj	transcraniano
(	punc	(
DTC	prop	dtc
)	punc	)
documentou	v-fin	documentar
aumento	n	aumento
de	prp	de
a	art	o
velocidade	n	velocidade
de	prp	de
fluxo	n	fluxo
em	prp	em
a	art	o
ACM	prop	acm
esquerda	adj	esquerdo
(	punc	(
VS=	prop	vs=
200	num	200
cm	n	cm
/	punc	/
s	n	s
;	punc	;
VD=	prop	vd=
100	num	100
cm	n	cm
/	punc	/
s	n	s
)	punc	)
,	punc	,
em	prp	em
a	art	o
ACM	prop	acm
direita	adj	direito
e	conj-c	e
ambas	pron-det	ambos
ACAs	prop	acas
(	punc	(
VS=	prop	vs=
170	num	170
cm	n	cm
/	punc	/
s	n	s
;	punc	;
VD=	prop	vd=
85	num	85
cm	n	cm
/	punc	/
s	n	s
)	punc	)
.	punc	.
Durante	prp	durante
o	art	o
internamento	n	internamento
,	punc	,
a	art	o
repetição	n	repetição
de	prp	de
o	art	o
DTC	prop	dtc
demonstrou	v-fin	demonstrar
uma	art	um
diminuição	n	diminuição
progressiva	adj	progressivo
de	prp	de
as	art	o
velocidades	n	velocidade
previamente	adv	previamente
registadas	v-pcp	registar
em	prp	em
a	art	o
ACM	prop	acm
e	conj-c	e
ACA	prop	aca
esquerdas	n	esquerda
(	punc	(
VS=	prop	vs=
170	num	170
cm	n	cm
/	punc	/
s	n	s
;	punc	;
VD=	prop	vd=
80	num	80
cm	n	cm
/	punc	/
s	n	s
)	punc	)
e	conj-c	e
de	prp	de
as	art	o
ACM	prop	acm
e	conj-c	e
ACA	prop	aca
Direitas	prop	direitas
(	punc	(
VS=	prop	vs=
150	num	150
cm	n	cm
/	punc	/
s	n	s
;	punc	;
VD=	prop	vd=
70	num	70
cm	n	cm
/	punc	/
s	n	s
)	punc	)
em	prp	em
D5	n	d5
de	prp	de
internamento	n	internamento
;	punc	;
ACM	prop	acm
esquerda	v-fin	esquerdar
(	punc	(
VS=	prop	vs=
180	num	180
cm	n	cm
/	punc	/
s	n	s
;	punc	;
VD=	prop	vd=
75	num	75
cm	n	cm
/	punc	/
s	n	s
)	punc	)
e	conj-c	e
normalização	n	normalização
de	prp	de
as	art	o
velocidades	n	velocidade
em	prp	em
os	art	o
restantes	adj	restante
segmentos	n	segmento
intracranianos	adj	intracraniano
a	prp	a
a	art	o
data	n	data
de	prp	de
alta	n	alta
.	punc	.
Foi	adv	foi
realizada	v-pcp	realizar
terapêutica	n	terapêutica
apenas	adv	apenas
com	prp	com
ácido	art	ácido
acetilsalicílico	n	acetilsalicílico
e	conj-c	e
estatina	n	estatina
.	punc	.
