Doente	adv	doente
de	prp	de
o	art	o
sexo	n	sexo
masculino	adj	masculino
com	prp	com
26	num	26
anos	n	ano
de	prp	de
idade	n	idade
com	prp	com
esclerose	n	esclerose
múltipla	adj	múltipla
com	prp	com
início	n	início
de	prp	de
a	art	o
clínica	n	clínica
a	prp	a
os	art	o
20	num	20
anos	n	ano
.	punc	.
Tem	v-fin	ter
uma	art	um
forma	n	forma
secundariamente	adj	secundariamente
progressiva	adj	progressivo
com	prp	com
paraparésia	n	paraparésia
a	prp	a
necessitar	v-inf	necessitar
de	prp	de
apoio	n	apoio
bilateral	adj	bilateral
e	conj-c	e
alterações	n	alteração
esfincterianas	adj	esfincteriana
importantes	adj	importante
,	punc	,
ambas	pron-det	ambos
com	prp	com
relevante	adj	relevante
repercussão	n	repercussão
funcional	adj	funcional
,	punc	,
cuja	pron-det	cujo
progressão	n	progressão
sustentada	v-pcp	sustentar
passou	v-fin	passar
a	prp	a
evidenciar	v-inf	evidenciar
se	pron-pers	se
a	prp	a
o	art	o
fim	n	fim
de	prp	de
2	num	2
anos	n	ano
de	prp	de
doença	n	doença
.	punc	.
Sem	prp	sem
expressão	n	expressão
clínica	adj	clínica
ou	conj-c	ou
laboratorial	adj	laboratorial
de	prp	de
qualquer	pron-det	qualquer
outra	pron-det	outro
doença	n	doença
imune	v-fin	imunir
.	punc	.
