Doente	adv	doente
de	prp	de
81	num	81
anos	n	ano
,	punc	,
sexo	n	sexo
masculino	adj	masculino
,	punc	,
recorre	v-fin	recorrer
a	prp	a
a	art	o
urgência	n	urgência
por	prp	por
episódios	n	episódio
transitórios	adj	transitório
de	prp	de
alterações	n	alteração
de	prp	de
a	art	o
linguagem	n	linguagem
.	punc	.
O	art	o
exame	n	exame
neurológico	adj	neurológico
demonstrava	v-fin	demonstrar
discretos	n	discreto
sinais	adj	sinal
piramidais	n	piramidal
a	prp	a
a	art	o
direita	n	direita
e	conj-c	e
a	art	o
TAC-CE	prop	tac-ce
revelou	v-fin	revelar
hematoma	n	hematoma
sub-dural	adj	sub-dural
crónico	adj	crónico
hemisférico	n	hemisférico
esquerdo	adj	esquerdo
.	punc	.
Suspendeu	v-fin	suspender
o	art	o
anti-agregante	n	anti-agregante
que	pron-indp	que
em	prp	em
a	art	o
altura	n	altura
tomava	v-fin	tomar
,	punc	,
tendo	v-ger	ter
os	art	o
episódios	n	episódio
deficitários	adj	deficitário
aumentado	v-pcp	aumentar
de	prp	de
frequência	n	frequência
e	conj-c	e
duração	n	duração
.	punc	.
Internado	v-pcp	internar
,	punc	,
o	art	o
restante	adj	restante
estudo	n	estudo
foi	v-fin	ser
normal	adj	normal
,	punc	,
a	prp	a
a	art	o
excepção	n	excepção
de	prp	de
o	art	o
EEG	prop	eeg
que	pron-indp	que
evidenciou	v-fin	evidenciar
actividade	n	actividade
paroxística	adj	paroxística
temporo-occipital	adj	temporo-occipital
esquerda	n	esquerda
.	punc	.
Foi	v-fin	ser
adicionada	v-pcp	adicionar
fenitoína	n	fenitoína
,	punc	,
sem	prp	sem
repetição	n	repetição
de	prp	de
o	art	o
quadro	n	quadro
.	punc	.
