Mulher	pron-det	mulher
de	prp	de
36	num	36
anos	n	ano
de	prp	de
idade	n	idade
,	punc	,
com	prp	com
antecedentes	n	antecedente
de	prp	de
epilepsia	n	epilepsia
em	prp	em
a	art	o
infância	n	infância
.	punc	.
Em	prp	em
Outubro	n	outubro
de	prp	de
2005	num	2005
começou	v-fin	começar
com	prp	com
perturbações	n	perturbação
de	prp	de
a	art	o
acuidade	n	acuidade
visual	adj	visual
bilateral	adj	bilateral
,	punc	,
sendo	v-ger	ser
observada	v-pcp	observar
por	prp	por
oftalmologista	n	oftalmologista
com	prp	com
o	art	o
diagnóstico	n	diagnóstico
de	prp	de
uveíte	art	uveíte
granulomatosa	adj	granulomatosa
média	n	média
.	punc	.
Fez	prop	fez
corticoterapia	v-fin	corticoteraper
com	prp	com
resultado	n	resultado
parcial	adj	parcial
.	punc	.
Cerca	adj	cerca
de	prp	de
2	num	2
semanas	n	semana
após	prp	após
,	punc	,
iniciou	v-fin	iniciar
mio-artralgias	n	mio-artralgia
difusas	adj	difuso
progressivas	adj	progressivo
,	punc	,
sem	prp	sem
resposta	n	resposta
a	prp	a
os	art	o
AINE	prop	aine
e	conj-c	e
emagrecimento	n	emagrecimento
de	prp	de
4	num	4
kg	n	kg
.	punc	.
A	art	o
A	art	o
3ª	adj	3ª
semana	n	semana
de	prp	de
evolução	n	evolução
surgiram	v-fin	surgir
episódios	n	episódio
sincopais	adj	sincopal
,	punc	,
tosse	v-fin	tossir
produtiva	adj	produtivo
,	punc	,
cefaleias	n	cefaleia
,	punc	,
cervicalgias	n	cervicalgia
,	punc	,
disfonia	n	disfonia
,	punc	,
disfagia	v-fin	disfager
para	prp	para
líquidos	n	líquido
,	punc	,
dificuldade	n	dificuldade
em	prp	em
a	art	o
marcha	n	marcha
e	conj-c	e
parestesias	n	parestesia
em	prp	em
a	art	o
hemiface	n	hemiface
e	conj-c	e
membro	n	membro
superior	adj	superior
direitos	n	direito
.	punc	.
Encontrava	v-fin	encontrar
se	pron-pers	se
apirética	adj	apirética
e	conj-c	e
sem	prp	sem
lesões	n	lesão
cutâneas	adj	cutânea
.	punc	.
O	art	o
exame	n	exame
neurológico	adj	neurológico
revelou	v-fin	revelar
:	punc	:
papiledema	n	papiledema
bilateral	adj	bilateral
em	prp	em
a	art	o
fundoscopia	n	fundoscopia
;	punc	;
hipostesia	n	hipostesia
trigeminal	adj	trigeminal
direita	n	direita
;	punc	;
diparésia	n	diparésia
facial	adj	facial
periférica	adj	periférica
;	punc	;
disfonia	v-fin	disfoner
com	prp	com
reflexo	n	reflexo
de	prp	de
o	art	o
engasgamento	n	engasgamento
abolido	adj	abolido
bilateralmente	adv	bilateralmente
.	punc	.
Reflexos	n	reflexo
miotáticos	adj	miotático
normais	adv	normais
com	prp	com
reflexo	n	reflexo
tricipital	adj	tricipital
direito	n	direito
invertido	v-pcp	inverter
,	punc	,
a	prp	a
que	pron-indp	que
se	pron-pers	se
associa	v-fin	associar
hipostesia	n	hipostesia
de	prp	de
o	art	o
território	n	território
de	prp	de
C7	art	c7
direita	n	direita
.	punc	.
A	art	o
marcha	n	marcha
era	v-fin	ser
de	prp	de
base	n	base
alargada	v-pcp	alargar
com	prp	com
decomposição	n	decomposição
em	prp	em
as	art	o
voltas	n	volta
Os	art	o
exames	n	exame
laboratoriais	adj	laboratorial
de	prp	de
rotina	n	rotina
forma	adj	forma
normais	adv	normais
.	punc	.
A	art	o
punção	n	punção
lombar	adj	lombar
revelou	v-fin	revelar
pleocitose	n	pleocitose
de	prp	de
o	art	o
