Homem	prop	homem
,	punc	,
48	num	48
anos	n	ano
,	punc	,
dextro	n	dextro
,	punc	,
submetido	v-pcp	submeter
a	prp	a
excisão	n	excisão
incompleta	adj	incompleto
de	prp	de
lesão	n	lesão
parietal	adj	parietal
direita	n	direita
em	prp	em
2006	num	2006
(	punc	(
oligodendroglioma	n	oligodendroglioma
grau	adj	grau
II	adj	ii
)	punc	)
.	punc	.
Desde	prp	desde
então	adv	então
mantém	v-fin	manter
episódios	n	episódio
sugestivos	adj	sugestivo
de	prp	de
crises	n	crise
motoras	adj	motor
de	prp	de
o	art	o
hemicorpo	n	hemicorpo
esquerdo	adj	esquerdo
,	punc	,
por	prp	por
vezes	n	vez
com	prp	com
queda	n	queda
,	punc	,
de	prp	de
difícil	adj	difícil
controlo	n	controlo
farmacológico	adj	farmacológico
.	punc	.
Em	prp	em
A	art	o
monitorização	n	monitorização
vídeo-EEG	v-fin	vídear-eeg
registaram	v-fin	registar
se	pron-pers	se
múltiplos	adj	múltiplo
episódios	n	episódio
paroxísticos	adj	paroxístico
,	punc	,
sistematizáveis	adv	sistematizáveis
em	prp	em
duas	num	dois
fases	n	fase
consecutivas	adj	consecutivo
:	punc	:
1	num	1
)	punc	)
aura	v-fin	aurar
visual	adj	visual
complexa	n	complexa
seguida	v-pcp	seguir
de	prp	de
aura	n	aura
somatossensitiva	adj	somatossensitiva
de	prp	de
o	art	o
hemicorpo	n	hemicorpo
esquerdo	adj	esquerdo
,	punc	,
terminando	v-ger	terminar
com	prp	com
contração	n	contração
tónica	adj	tónica
de	prp	de
o	art	o
membro	n	membro
inferior	adj	inferior
esquerdo	adj	esquerdo
(	punc	(
sem	prp	sem
perda	n	perda
de	prp	de
conhecimento	n	conhecimento
)	punc	)
;	punc	;
2	num	2
)	punc	)
movimentos	n	movimento
rítmicos	adj	rítmico
ou	conj-c	ou
arrítmicos	adj	arrítmico
de	prp	de
os	art	o
membros	n	membro
esquerdos	adj	esquerdo
,	punc	,
de	prp	de
intensidade	n	intensidade
variável	adj	variável
,	punc	,
a	prp	a
o	art	o
longo	adj	longo
de	prp	de
muitos	pron-det	muito
minutos	n	minuto
.	punc	.
A	art	o
A	art	o
primeira	adj	primeira
fase	n	fase
correspondia	v-fin	corresponder
um	art	um
padrão	n	padrão
ictal	adj	ictal
em	prp	em
a	art	o
região	n	região
central	adj	central
direita	adj	direito
,	punc	,
que	pron-indp	que
se	pron-pers	se
desvanecia	v-fin	desvanecer
em	prp	em
a	art	o
segunda	adj	segunda
fase	n	fase
.	punc	.
Pouco	adv	pouco
depois	adv	depois
de	prp	de
a	art	o
monitorização	n	monitorização
fez	v-fin	fazer
cirurgia	n	cirurgia
ressetiva	adj	ressetiva
por	prp	por
crescimento	n	crescimento
lesional	adj	lesional
.	punc	.
Em	prp	em
Os	art	o
dois	num	dois
meses	n	mÃªs
seguintes	adj	seguinte
não	adv	não
houve	v-fin	haver
recorrência	n	recorrência
de	prp	de
crises	n	crise
.	punc	.
