Caso	conj-s	caso
clínico	n	clínico
de	prp	de
uma	art	um
doente	adj	doente
de	prp	de
31	num	31
anos	n	ano
que	pron-indp	que
,	punc	,
sob	prp	sob
a	art	o
ingestão	n	ingestão
prolongada	v-pcp	prolongar
de	prp	de
extracto	n	extracto
de	prp	de
senne	n	senne
,	punc	,
desenvolve	v-fin	desenvolver
um	art	um
quadro	n	quadro
progressivo	adj	progressivo
de	prp	de
emagrecimento	n	emagrecimento
severo	adj	severo
,	punc	,
edema	n	edema
cíclico	adj	cíclico
,	punc	,
dispepsia	n	dispepsia
e	conj-c	e
hipotrofia	n	hipotrofia
muscular	adj	muscular
e	conj-c	e
hiporreflexia	adj	hiporreflexia
generalizadas	n	generalizada
,	punc	,
acompanhado	v-pcp	acompanhar
de	prp	de
elevação	n	elevação
de	prp	de
os	art	o
marcadores	n	marcador
de	prp	de
lesão	n	lesão
hepática	adj	hepática
e	conj-c	e
muscular	adj	muscular
,	punc	,
dislipidémia	v-fin	dislipidémer
,	punc	,
alterações	n	alteração
electromiográficas	adj	electromiográfica
de	prp	de
neuropatia	n	neuropatia
axonal	adj	axonal
e	conj-c	e
miopatia	n	miopatia
mitocondrial	adj	mitocondrial
em	prp	em
a	art	o
biopsia	n	biopsia
muscular	adj	muscular
,	punc	,
com	prp	com
normalização	n	normalização
de	prp	de
a	art	o
maioria	n	maioria
de	prp	de
as	art	o
referidas	n	referida
alterações	n	alteração
em	prp	em
o	art	o
decurso	n	decurso
de	prp	de
várias	pron-det	vários
semanas	n	semana
após	prp	após
a	art	o
interrupção	n	interrupção
de	prp	de
a	art	o
ingestão	n	ingestão
de	prp	de
o	art	o
senne	n	senne
.	punc	.
