Apresentamos	v-fin	apresentar
uma	art	um
senhora	n	senhor
de	prp	de
48	num	48
anos	n	ano
,	punc	,
obesa	prop	obesa
,	punc	,
trazida	v-pcp	trazer
a	prp	a
o	art	o
Serviço	n	serviço
de	prp	de
Urgência	n	urgência
por	prp	por
ter	v-inf	ter
sido	v-pcp	ser
encontrada	v-pcp	encontrar
por	prp	por
o	art	o
neto	n	neto
,	punc	,
caída	v-pcp	cair
em	prp	em
o	art	o
chão	n	chão
de	prp	de
o	art	o
seu	pron-det	seu
quarto	n	quarto
de	prp	de
manhã	n	manhã
cerca	adv	cerca
de	prp	de
as	art	o
9h	n	9h
,	punc	,
não	adv	não
falava	v-fin	falar
e	conj-c	e
não	adv	não
mexia	v-fin	mexer
o	art	o
lado	n	lado
direito	adj	direito
de	prp	de
o	art	o
corpo	n	corpo
.	punc	.
Em	prp	em
A	art	o
admissão	n	admissão
,	punc	,
a	prp	a
as	art	o
10h	n	10h
,	punc	,
não	adv	não
foi	v-fin	ser
ativada	v-pcp	ativar
a	prp	a
Via	prop	via
Verde	prop	verde
de	prp	de
AVC	prop	avc
(	punc	(
VV	prop	vv
AVC	prop	avc
)	punc	)
por	prp	por
se	pron-pers	se
desconhecer	v-inf	desconhecer
a	art	o
hora	n	hora
de	prp	de
início	n	início
.	punc	.
Entretanto	adv	entretanto
a	art	o
filha	n	filho
referia	v-fin	referir
que	conj-s	que
a	art	o
doente	adj	doente
se	pron-pers	se
tinha	v-fin	ter
deitado	v-pcp	deitar
bem	adv	bem
em	prp	em
o	art	o
dia	n	dia
anterior	adj	anterior
por	prp	por
as	art	o
21h	n	21h
e	conj-c	e
de	prp	de
manhã	n	manhã
por	prp	por
volta	n	volta
de	prp	de
as	art	o
7h30m	num	7h30m
a	prp	a
doente	adj	doente
estaria	n	estaria
deitada	v-pcp	deitar
em	prp	em
a	art	o
cama	n	cama
a	prp	a
dormir	v-inf	dormir
.	punc	.
Contactamos	v-fin	contactar
telefonicamente	adv	telefonicamente
o	art	o
neto	n	neto
de	prp	de
8	num	8
anos	n	ano
que	pron-indp	que
referia	v-fin	referir
que	conj-s	que
encontrou	v-fin	encontrar
a	art	o
doente	adj	doente
caída	n	caída
em	prp	em
o	art	o
chão	n	chão
de	prp	de
o	art	o
seu	pron-det	seu
quarto	adj	quarto
,	punc	,
vestida	v-pcp	vestir
e	conj-c	e
com	prp	com
os	art	o
chinelos	n	chinelo
calçados	v-pcp	calçar
.	punc	.
A	art	o
filha	n	filho
contava	v-fin	contar
que	conj-s	que
,	punc	,
por	prp	por
vezes	n	vez
,	punc	,
a	art	o
doente	adj	doente
dormia	n	dormia
vestida	v-pcp	vestir
,	punc	,
mas	conj-c	mas
por	prp	por
o	art	o
facto	n	facto
de	prp	de
ter	v-inf	ter
os	art	o
chinelos	n	chinelo
calçados	v-pcp	calçar
foi	v-fin	ser
admitido	v-pcp	admitir
que	conj-s	que
tivera	v-fin	ter
força	n	força
para	prp	para
o	pron-det	o
fazer	v-inf	fazer
e	conj-c	e
,	punc	,
portanto	adv	portanto
,	punc	,
levantara	v-fin	levantar
se	pron-pers	se
bem	adv	bem
e	conj-c	e
os	art	o
sintomas	n	sintoma
teriam	v-fin	ter
ocorrido	v-pcp	ocorrer
depois	adv	depois
de	prp	de
se	pron-pers	se
levantar	v-inf	levantar
.	punc	.
Assumiu	v-fin	assumir
se	pron-pers	se
as	art	o
7h30m	num	7h30m
como	adv	como
a	art	o
hora	n	hora
de	prp	de
início	n	início
e	conj-c	e
foi	v-fin	ser
ativada	v-pcp	ativar
a	prp	a
VV	prop	vv
AVC	prop	avc
.	punc	.
A	art	o
O	art	o
exame	n	exame
neurológico	adj	neurológico
em	prp	em
a	art	o
admissão	n	admissão
apresentava-	v-fin	apresentar-
se	pron-pers	se
afásica	adj	afásica
e	conj-c	e
com	prp	com
hemiparesia	n	hemiparesia
direita	adj	direito
pontuando	prp	pontuando
NIHSS	n	nihs
17	num	17
;	punc	;
em	prp	em
a	art	o
TAC	prop	tac
cerebral	adj	cerebral
ténue	v-fin	ténuar
hipodensidade	n	hipodensidade
de	prp	de
os	art	o
gânglios	n	gânglio
de	prp	de
a	art	o
base	n	base
a	prp	a
a	art	o
esquerda	n	esquerda
e	conj-c	e
marcada	v-pcp	marcar
hiperdensidade	n	hiperdensidade
de	prp	de
o	art	o
segmento	n	segmento
M1	prop	m1
de	prp	de
a	art	o
artéria	n	artéria
cerebral	adj	cerebral
média	n	média
esquerda	adj	esquerdo
(	punc	(
ACME	prop	acme
)	punc	)
.	punc	.
Submetida	v-pcp	submeter
a	prp	a
trombólise	n	trombólise
endovenosa	adj	endovenoso
mantendo	v-ger	manter
a	art	o
mesma	pron-det	mesmo
pontuação	n	pontuação
NIHSS	prop	nihss
em	prp	em
o	art	o
final	n	final
de	prp	de
o	art	o
procedimento	n	procedimento
.	punc	.
De	prp	de
seguida	v-pcp	seguir
submetida	v-pcp	submeter
a	prp	a
arteriografia	n	arteriografia
que	pron-indp	que
confirmou	v-fin	confirmar
oclusão	n	oclusão
de	prp	de
o	art	o
segmento	n	segmento
M1	prop	m1
esquerdo	adj	esquerdo
proximal	n	proximal
e	conj-c	e
realizada	v-pcp	realizar
trombectomia	n	trombectomia
com	prp	com
uma	art	um
única	adj	única
passagem	n	passagem
de	prp	de
stent	n	stent
retriever	v-fin	retriever
Revive	prop	revive
.	punc	.
O	art	o
controlo	n	controlo
final	adj	final
mostrou	v-fin	mostrar
recanalização	n	recanalização
total	adj	total
de	prp	de
a	art	o
ACME	prop	acme
.	punc	.
Cerca	adv	cerca
de	prp	de
2h	n	2h
após	prp	após
a	art	o
recanalização	n	recanalização
(	punc	(
e	conj-c	e
5h	n	5h
após	prp	após
início	n	início
clínico	adj	clínico
assumido	v-pcp	assumir
)	punc	)
pontuava	v-fin	pontuar
NIHSS	n	nihs
7	num	7
.	punc	.
