Doente	adv	doente
com	prp	com
50	num	50
anos	n	ano
,	punc	,
que	pron-indp	que
a	prp	a
os	art	o
24	num	24
tinha	v-fin	ter
critérios	n	critério
clínicos	adj	clínico
de	prp	de
EM	prop	em
(	punc	(
surto	n	surto
de	prp	de
nevrite	n	nevrite
óptica	adj	óptica
(	punc	(
EM	prop	em
O	punc	o
)	punc	)
direita	v-fin	direitar
a	prp	a
os	art	o
20	num	20
anos	n	ano
e	conj-c	e
um	art	um
segundo	adj	segundo
surto	n	surto
medular	adj	medular
com	prp	com
EM	prop	em
O	art	o
esquerda	n	esquerda
a	prp	a
os	art	o
22	num	22
anos	n	ano
)	punc	)
,	punc	,
com	prp	com
forma	n	forma
secundariamente	adj	secundariamente
progressiva	adj	progressivo
desde	prp	desde
os	art	o
38	num	38
anos	n	ano
.	punc	.
A	art	o
Os	art	o
41	num	41
surgiu	v-fin	surgir
hipotonia	n	hipotonia
,	punc	,
hiporreflexia	n	hiporreflexia
generalizada	v-pcp	generalizar
e	conj-c	e
amiotrofias	n	amiotrofia
distais	adj	distal
,	punc	,
com	prp	com
agravamento	n	agravamento
de	prp	de
a	art	o
tetraparésia	n	tetraparésia
e	conj-c	e
incapacidade	n	incapacidade
.	punc	.
Confirmação	prop	confirmação
neurofisiológica	adj	neurofisiológica
e	conj-c	e
neuropatológica	adj	neuropatológica
de	prp	de
CIDP	prop	cidp
a	prp	a
os	art	o
49	num	49
anos	n	ano
,	punc	,
tendo	v-ger	ter
iniciado	v-pcp	iniciar
IVIg	v-fin	ivig
com	prp	com
discreta	adj	discreto
melhoria	n	melhoria
clinica	adj	clinica
.	punc	.
