Mulher	prop	mulher
,	punc	,
83	num	83
anos	n	ano
,	punc	,
com	prp	com
factores	n	factor
de	prp	de
risco	n	risco
vasculares	adj	vascular
de	prp	de
hipertensão	n	hipertensão
arterial	adj	arterial
e	conj-c	e
diabetes	n	diabetes
,	punc	,
com	prp	com
quadro	n	quadro
inicial	adj	inicial
de	prp	de
vertigem	n	vertigem
e	conj-c	e
desequilíbrio	n	desequilíbrio
de	prp	de
a	art	o
marcha	n	marcha
,	punc	,
medicada	n	medicada
sintomaticamente	adj	sintomaticamente
.	punc	.
Uma	num	um
semana	n	semana
depois	adv	depois
,	punc	,
quadro	n	quadro
de	prp	de
alteração	n	alteração
de	prp	de
a	art	o
articulação	n	articulação
verbal	adj	verbal
e	conj-c	e
incapacidade	adj	incapacidade
para	prp	para
a	art	o
marcha	n	marcha
.	punc	.
Analiticamente	adv	analiticamente
,	punc	,
sem	prp	sem
alterações	n	alteração
relevantes	adj	relevante
,	punc	,
nomeadamente	adv	nomeadamente
sem	prp	sem
desequilíbrios	n	desequilíbrio
hidroelectrolíticos	adj	hidroelectrolítico
.	punc	.
A	art	o
O	art	o
exame	n	exame
neurológico	adj	neurológico
,	punc	,
apresentava	v-fin	apresentar
,	punc	,
inicialmente	adv	inicialmente
,	punc	,
disartria	v-fin	disartrer
,	punc	,
nistagmo	n	nistagmo
em	prp	em
a	art	o
direcção	n	direcção
de	prp	de
o	art	o
olhar	n	olhar
,	punc	,
ataxia	n	ataxia
apendicular	punc	apendicular
e	conj-c	e
retropulsão	v-fin	retropulsãar
com	prp	com
instabilidade	n	instabilidade
postural	adj	postural
,	punc	,
que	pron-indp	que
evoluiu	v-fin	evoluir
em	prp	em
2	num	2
semanas	n	semana
depois	adv	depois
para	prp	para
disartria	n	disartria
,	punc	,
contracção	n	contracção
de	prp	de
o	art	o
frontalis	n	frontalil
e	conj-c	e
distonia	n	distonia
de	prp	de
a	art	o
boca	n	boca
,	punc	,
nistagmo	n	nistagmo
horizontal	adj	horizontal
em	prp	em
a	art	o
direção	n	direção
de	prp	de
o	art	o
olhar	n	olhar
,	punc	,
rigidez	n	rigidez
assimétrica	adj	assimétrica
,	punc	,
de	prp	de
predomínio	n	predomínio
em	prp	em
os	art	o
membros	n	membro
inferiores	adj	inferior
e	conj-c	e
a	art	o
a	art	o
direita	n	direita
,	punc	,
tremor	n	tremor
de	prp	de
repouso	n	repouso
de	prp	de
o	art	o
membro	n	membro
superior	adj	superior
direito	n	direito
,	punc	,
retropulsão	n	retropulsão
marcada	v-pcp	marcar
e	conj-c	e
distonia	n	distonia
de	prp	de
os	art	o
pés	n	pé
,	punc	,
mais	adv	mais
a	prp	a
a	art	o
direita	n	direita
,	punc	,
com	prp	com
maior	adj	grande
incapacidade	n	incapacidade
para	prp	para
a	art	o
marcha	n	marcha
.	punc	.
A	art	o
RM-CE	prop	rm-ce
com	prp	com
1	num	1
semana	n	semana
de	prp	de
evolução	n	evolução
de	prp	de
o	art	o
quadro	n	quadro
mostrou	v-fin	mostrar
lesões	n	lesão
isquémicas	adj	isquémica
agudas	v-pcp	agudar
de	prp	de
os	art	o
pedúnculos	n	pedúnculo
cerebelosos	adj	cerebeloso
médios	adj	médio
.	punc	.
Angio-RM	prop	angio-rm
com	prp	com
marcada	n	marcado
redução	v-pcp	reduçãar
de	prp	de
calibre	n	calibre
e	conj-c	e
irregularidade	n	irregularidade
de	prp	de
ambas	pron-det	ambos
as	art	o
artérias	n	artéria
vertebrais	adj	vertebral
e	conj-c	e
de	prp	de
a	art	o
artéria	n	artéria
basilar	adj	basilar
,	punc	,
com	prp	com
áreas	n	área
de	prp	de
estenose	n	estenose
significativa	adj	significativo
/	punc	/
fluxo	n	fluxo
filiforme	adj	filiforme
alternando	v-ger	alternar
com	prp	com
áreas	n	área
de	prp	de
calibre	n	calibre
ligeiramente	adv	ligeiramente
superior	adj	superior
em	prp	em
toda	pron-det	todo
a	art	o
extensão	n	extensão
de	prp	de
estes	pron-det	este
vasos	n	vaso
.	punc	.
Doppler	prop	doppler
de	prp	de
os	art	o
vasos	n	vaso
de	prp	de
o	art	o
pescoço	n	pescoço
e	conj-c	e
DTC	n	dtc
revelou	v-fin	revelar
estenose	prp	estenose
hemodinamicamente	n	hemodinamicamente
significativa	adj	significativo
em	prp	em
V1	prop	v1
a	prp	a
a	art	o
esquerda	n	esquerda
com	prp	com
aumento	n	aumento
de	prp	de
as	art	o
velocidades	n	velocidade
em	prp	em
as	art	o
artérias	n	artéria
vertebrais	adj	vertebral
.	punc	.
A	art	o
estimulação	n	estimulação
magnética	adj	magnética
transcraniana	adj	transcraniana
e	conj-c	e
tractografia	n	tractografia
revelaram	v-fin	revelar
integridade	n	integridade
de	prp	de
a	art	o
via	n	via
piramidal	adj	piramidal
e	conj-c	e
,	punc	,
em	prp	em
esta	pron-det	este
última	adj	última
,	punc	,
redução	n	redução
de	prp	de
as	art	o
vias	n	via
ponto-cerebelosas	adj	ponto-cerebelosa
bilateralmente	adj	bilateralmente
.	punc	.
Foi	v-fin	ser
medicada	v-pcp	medicar
com	prp	com
aspirina	n	aspirina
e	conj-c	e
estatina	n	estatina
e	conj-c	e
,	punc	,
sintomaticamente	adv	sintomaticamente
,	punc	,
com	prp	com
levodopa	n	levodopa
até	prp	até
450mg	num	450mg
/	punc	/
dia	n	dia
,	punc	,
com	prp	com
melhoria	n	melhoria
de	prp	de
a	art	o
rigidez	n	rigidez
,	punc	,
readquirindo	v-ger	readquirir
marcha	n	marcha
com	prp	com
apoio	n	apoio
bilateral	adj	bilateral
.	punc	.
