Mulher	pron-det	mulher
de	prp	de
36	num	36
anos	n	ano
(	punc	(
I.	prop	i.
W.	punc	w.
)	punc	)
,	punc	,
dextra	v-fin	dextrar
,	punc	,
estudante	n	estudante
de	prp	de
engenharia	n	engenharia
química	adj	química
que	pron-indp	que
há	v-fin	haver
cerca	adv	cerca
de	prp	de
dois	num	dois
anos	n	ano
sofreu	v-fin	sofrer
um	art	um
AVC	prop	avc
isquémico	adj	isquémico
fronto-temporal	n	fronto-temporal
e	conj-c	e
núcleo-capsular	n	núcleo-capsular
a	prp	a
a	art	o
esquerda	n	esquerda
.	punc	.
Apresenta	prop	apresenta
,	punc	,
actualmente	adv	actualmente
hemiparesia	n	hemiparesia
direita	adj	direito
de	prp	de
predomínio	n	predomínio
braquial	adj	braquial
,	punc	,
hemianopsia	n	hemianopsia
homónima	adj	homónima
direita	n	direita
e	conj-c	e
afasia	v-fin	afaser
anómica	n	anómica
.	punc	.
I.	prop	i.
W.	punc	w.
utiliza	v-fin	utilizar
a	art	o
mão	n	mão
esquerda	adj	esquerdo
para	prp	para
escrever	v-inf	escrever
manualmente	adv	manualmente
e	conj-c	e
em	prp	em
o	art	o
teclado	n	teclado
,	punc	,
produzindo	v-ger	produzir
erros	n	erro
fonológicos	adj	fonológico
em	prp	em
as	art	o
duas	num	dois
modalidades	n	modalidade
.	punc	.
Em	prp	em
O	art	o
entanto	n	entanto
,	punc	,
ocorrem	v-fin	ocorrer
significativamente	adv	significativamente
(	punc	(
p=0.03	num	p=0.03
)	punc	)
menos	adv	menos
erros	n	erro
em	prp	em
a	art	o
escrita	n	escrita
através	adv	através
de	prp	de
o	art	o
teclado	n	teclado
.	punc	.
