Doente	adv	doente
de	prp	de
o	art	o
sexo	n	sexo
masculino	adj	masculino
,	punc	,
de	prp	de
63	num	63
anos	n	ano
,	punc	,
autónomo	adj	autónomo
em	prp	em
as	art	o
AVD	prop	avd
com	prp	com
uso	n	uso
de	prp	de
prótese	art	prótese
endosquelética	n	endosquelética
por	prp	por
amputação	n	amputação
transtibial	adj	transtibial
esquerda	adj	esquerdo
em	prp	em
o	art	o
contexto	n	contexto
de	prp	de
isquémia	art	isquémio
aguda	n	aguda
de	prp	de
o	art	o
membro	n	membro
,	punc	,
que	pron-indp	que
14	num	14
anos	n	ano
após	prp	após
,	punc	,
sofreu	v-fin	sofrer
AVC	prop	avc
isquémico	adj	isquémico
de	prp	de
o	art	o
hemisfério	n	hemisfério
direito	adj	direito
com	prp	com
quadro	n	quadro
de	prp	de
hemihipostesia	n	hemihipostesia
e	conj-c	e
hemiparesia	n	hemiparesia
esquerdas	v-pcp	esquerdar
com	prp	com
movimentos	n	movimento
ativos	adj	ativo
contra-gravidade	n	contra-gravidade
,	punc	,
sequelares	n	sequelar
.	punc	.
Após	prp	após
programa	n	programa
de	prp	de
reabilitação	n	reabilitação
em	prp	em
ambulatório	n	ambulatório
,	punc	,
foi	v-fin	ser
possível	adj	possível
retomar	v-inf	retomar
a	art	o
marcha	n	marcha
com	prp	com
apoio	n	apoio
de	prp	de
pirâmide	n	pirâmide
a	prp	a
a	art	o
direita	n	direita
.	punc	.
