19	num	19
anos	n	ano
,	punc	,
sexo	n	sexo
feminino	adj	feminino
,	punc	,
episódios	n	episódio
de	prp	de
aura	n	aura
epigástrica	adj	epigástrica
,	punc	,
automatismos	n	automatismo
mastigatórios	adj	mastigatório
e	conj-c	e
paragem	prp	paragem
psicomotora	n	psicomotora
.	punc	.
Mau	prop	mau
aproveitamento	n	aproveitamento
escolar	adj	escolar
.	punc	.
RM	prop	rm
cerebral	n	cerebral
com	prp	com
diminuição	n	diminuição
de	prp	de
o	art	o
volume	n	volume
de	prp	de
o	art	o
hipocampo	n	hipocampo
esquerdo	adj	esquerdo
.	punc	.
EEG	prop	eeg
com	prp	com
descargas	n	descarga
epileptiformes	adj	epileptiforme
temporais	adj	temporal
esquerdas	n	esquerda
.	punc	.
Medicada	prop	medicada
com	prp	com
eslicarbazepina	n	eslicarbazepina
e	conj-c	e
levetiracetam	v-fin	levar
.	punc	.
