Rapaz	prop	rapaz
de	prp	de
9	num	9
anos	n	ano
,	punc	,
vítima	n	vítima
de	prp	de
traumatismo	n	traumatismo
craneo-encefálico	adj	craneo-encefálico
,	punc	,
de	prp	de
o	art	o
qual	pron-det	qual
resultaram	v-fin	resultar
múltiplos	n	múltiplo
focos	adj	foco
de	prp	de
contusão	n	contusão
de	prp	de
o	art	o
hemisfério	n	hemisfério
direito	adj	direito
.	punc	.
Inicialmente	adv	inicialmente
o	art	o
doente	adj	doente
apresentava	v-fin	apresentar
se	pron-pers	se
em	prp	em
mutismo	n	mutismo
,	punc	,
com	prp	com
uma	art	um
hemiparésia	n	hemiparésia
esquerda	adj	esquerdo
e	conj-c	e
uma	art	um
hemianópsia	n	hemianópsia
homónima	adj	homónima
esquerda	adj	esquerdo
.	punc	.
Um	num	um
mês	n	mês
após	prp	após
a	art	o
recuperação	n	recuperação
de	prp	de
a	art	o
consciência	n	consciência
verificou	v-fin	verificar
se	pron-pers	se
um	art	um
discurso	n	discurso
fluente	adj	fluente
,	punc	,
com	prp	com
ecolália	n	ecolália
e	conj-c	e
palilália	n	palilália
e	conj-c	e
um	art	um
"	punc	"
neglect	n	neglect
"	punc	"
visuo-espacial	n	visuo-espacial
extra-pessoal	adj	extra-pessoal
e	conj-c	e
representacional	adj	representacional
,	punc	,
nomeadamente	adv	nomeadamente
em	prp	em
a	art	o
descrição	n	descrição
de	prp	de
locais	n	local
públicos	adj	público
e	conj-c	e
de	prp	de
o	art	o
próprio	pron-det	próprio
quarto	adj	quarto
.	punc	.
Este	pron-det	este
defeito	n	defeito
mantinha	v-fin	manter
se	pron-pers	se
com	prp	com
a	art	o
rotação	n	rotação
mental	adj	mental
.	punc	.
