Doente	adv	doente
de	prp	de
o	art	o
género	n	género
feminino	adj	feminino
,	punc	,
27	num	27
anos	n	ano
de	prp	de
idade	n	idade
,	punc	,
com	prp	com
antecedentes	n	antecedente
pessoais	adj	pessoal
de	prp	de
hemorragia	n	hemorragia
subaracnoideia	adj	subaracnoideia
por	prp	por
ruptura	n	ruptura
de	prp	de
aneurisma	n	aneurisma
de	prp	de
a	art	o
bifurcação	n	bifurcação
de	prp	de
a	art	o
ACM	prop	acm
esquerda	v-fin	esquerdar
a	prp	a
os	art	o
22	num	22
anos	n	ano
.	punc	.
Apresentava	v-fin	apresentar
hemiparésia	n	hemiparésia
direita	adj	direito
espástica	adj	espástica
e	conj-c	e
afasia	v-fin	afaser
ligeira	adj	ligeiro
,	punc	,
com	prp	com
autonomia	n	autonomia
para	prp	para
todas	pron-det	todo
as	art	o
actividades	n	actividade
de	prp	de
vida	n	vida
diária	adj	diária
e	conj-c	e
dor	adj	dor
neuropática	n	neuropática
intensa	adj	intenso
(	punc	(
NRS	prop	nrs
(	punc	(
numeric	prop	numeric
rating	n	rating
scale	prp	scale
)	punc	)
8	num	8
)	punc	)
,	punc	,
refractária	n	refractária
,	punc	,
com	prp	com
disautonomia	n	disautonomia
,	punc	,
em	prp	em
os	art	o
segmentos	n	segmento
distais	adj	distal
de	prp	de
o	art	o
membro	n	membro
superior	adj	superior
direito	n	direito
.	punc	.
Após	prp	após
avaliação	n	avaliação
por	prp	por
uma	art	um
equipa	n	equipa
multidisciplinar	adj	multidisciplinar
de	prp	de
dor	n	dor
,	punc	,
foi	v-fin	ser
feita	v-pcp	fazer
implantação	n	implantação
de	prp	de
estimulador	n	estimulador
cortical	adj	cortical
subdural	adj	subdural
sobre	prp	sobre
o	art	o
girus	n	giru
pré-central	adj	pré-central
esquerdo	adj	esquerdo
.	punc	.
Com	prp	com
a	art	o
estimulação	n	estimulação
houve	v-fin	haver
redução	n	redução
de	prp	de
a	art	o
intensidade	n	intensidade
de	prp	de
dor	n	dor
(	punc	(
NRS	prop	nrs
4	num	4
)	punc	)
,	punc	,
melhoria	n	melhoria
de	prp	de
a	art	o
sensação	n	sensação
de	prp	de
temperatura	n	temperatura
,	punc	,
coloração	n	coloração
e	conj-c	e
alterações	n	alteração
tróficas	adj	trófica
cutâneas	adj	cutânea
e	conj-c	e
de	prp	de
a	art	o
força	n	força
de	prp	de
a	art	o
mão	n	mão
e	conj-c	e
pé	n	pé
direitos	adj	direito
,	punc	,
com	prp	com
um	art	um
melhor	adj	bom
controlo	n	controlo
funcional	adj	funcional
de	prp	de
o	art	o
movimento	n	movimento
de	prp	de
a	art	o
mão	n	mão
e	conj-c	e
antebraço	n	antebraço
.	punc	.
