Lactente	adv	lactente
,	punc	,
sexo	n	sexo
masculino	adj	masculino
nascido	v-pcp	nascer
a	prp	a
as	art	o
40	num	40
semanas	n	semana
.	punc	.
História	prop	história
familiar	v-inf	familiar
negativa	adj	negativo
.	punc	.
Em	prp	em
O	art	o
período	n	período
neonatal	adj	neonatal
teve	v-fin	ter
episódio	n	episódio
sugestivo	adj	sugestivo
de	prp	de
crise	n	crise
tónica	adj	tónica
e	conj-c	e
,	punc	,
em	prp	em
o	art	o
decurso	n	decurso
de	prp	de
a	art	o
investigação	n	investigação
,	punc	,
detectou	v-fin	detectar
se	pron-pers	se
hiperlactacidemia	v-fin	hiperlactacidemer
que	conj-s	que
persistiu	v-fin	persistir
até	prp	até
a	prp	a
os	art	o
7	num	7
meses	n	mÃªs
.	punc	.
O	art	o
exame	n	exame
neurológico	adj	neurológico
a	prp	a
o	art	o
ano	n	ano
de	prp	de
vida	n	vida
era	v-fin	ser
normal	adj	normal
.	punc	.
Realizou	v-fin	realizar
biópsia	n	biópsia
muscular	adj	muscular
para	prp	para
estudo	n	estudo
de	prp	de
a	art	o
cadeia	n	cadeia
respiratória	adj	respiratória
:	punc	:
padrão	n	padrão
distrófico	adj	distrófico
e	conj-c	e
ausência	n	ausência
de	prp	de
marcação	n	marcação
sarcolémica	adj	sarcolémica
de	prp	de
as	art	o
fracções	n	fracção
1,2	num	1,2
e	conj-c	e
3	num	3
de	prp	de
a	art	o
Distrofina	prop	distrofina
.	punc	.
Foi	v-fin	ser
seguido	v-pcp	seguir
durante	prp	durante
18	num	18
anos	n	ano
,	punc	,
e	conj-c	e
evoluiu	v-fin	evoluir
de	prp	de
forma	n	forma
clássica	adj	clássica
:	punc	:
tetraparésia	n	tetraparésia
,	punc	,
perda	n	perda
de	prp	de
a	art	o
marcha	n	marcha
a	prp	a
os	art	o
10	num	10
anos	n	ano
e	conj-c	e
necessidade	n	necessidade
de	prp	de
ventilação	n	ventilação
assistida	v-pcp	assistir
.	punc	.
