Doente	adv	doente
de	prp	de
o	art	o
sexo	n	sexo
masculino	adj	masculino
,	punc	,
65	num	65
anos	n	ano
,	punc	,
DP	prop	dp
desde	prp	desde
os	art	o
33	num	33
anos	n	ano
.	punc	.
Desde	prp	desde
há	v-fin	haver
10	num	10
anos	n	ano
com	prp	com
complicações	n	complicação
motoras	adj	motor
,	punc	,
wearing	n	wearing
off	prop	off
e	conj-c	e
posteriormente	adv	posteriormente
distonia	n	distonia
matinal	adj	matinal
de	prp	de
os	art	o
MI	n	mi
e	conj-c	e
discinésias	n	discinésia
pico	adj	pico
de	prp	de
dose	n	dose
.	punc	.
Tinha	v-fin	ter
classificações	n	classificação
(	punc	(
ON	prop	on
/	punc	/
OFF	prop	off
)	punc	)
4/5	v-fin	4/5
em	prp	em
Hoehn	prop	hoehn
e	conj-c	e
Yahr	prop	yahr
;	punc	;
30	num	30
%	n	%
(	punc	(
ON	prop	on
)	punc	)
em	prp	em
Schwab	prop	schwab
e	conj-c	e
England	prop	england
;	punc	;
19/33	num	19/33
em	prp	em
UPDRS	prop	updrs
II	adj	ii
;	punc	;
27/42	num	27/42
em	prp	em
UPDRS	prop	updrs
parte	n	parte
III	adj	iii
;	punc	;
10/12	num	10/12
em	prp	em
UPDRS	prop	updrs
parte	n	parte
IV	adj	iv
;	punc	;
160	num	160
Escala	v-fin	escalar
de	prp	de
Qualidade	n	qualidade
de	prp	de
Vida	prop	vida
PDQ39	punc	pdq39
.	punc	.
Tinha	v-fin	ter
OFF	prop	off
médio	adj	médio
diário	adj	diário
de	prp	de
6h	prop	6h
e	conj-c	e
quedas	n	queda
superiores	adj	superior
a	prp	a
1	num	1
/	punc	/
dia	n	dia
.	punc	.
Medicado	prop	medicado
com	prp	com
levodopa	n	levodopa
/	punc	/
carbidopa	n	carbidopa
(	punc	(
600	num	600
mg	n	mg
/	punc	/
dia	n	dia
)	punc	)
,	punc	,
ropinerol	n	ropinerol
(	punc	(
16	num	16
mg	n	mg
/	punc	/
dia	n	dia
)	punc	)
e	conj-c	e
selegilina	n	selegilina
(	punc	(
10	num	10
mg	n	mg
/	punc	/
dia	n	dia
)	punc	)
.	punc	.
Realizou	v-fin	realizar
PEG	prop	peg
a	prp	a
12	num	12
de	prp	de
Janeiro	n	janeiro
de	prp	de
2009	num	2009
,	punc	,
para	prp	para
perfusão	n	perfusão
contínua	adj	contínua
de	prp	de
duodopa	n	duodopa
,	punc	,
(	punc	(
16h	n	16h
/	punc	/
dia	n	dia
)	punc	)
.	punc	.
Após	prp	após
2	num	2
meses	n	mÃªs
a	prp	a
dose	n	dose
contínua	v-fin	contínuar
estabilizou	v-fin	estabilizar
em	prp	em
2,6	num	2,6
ml	n	ml
/	punc	/
h	n	h
(	punc	(
dose	n	dose
matinal	adj	matinal
=	prp	=
6,9	num	6,9
ml	n	ml
/	punc	/
h	n	h
)	punc	)
,	punc	,
complementada	v-pcp	complementar
por	prp	por
doses	n	dose
extras	adj	extra
de	prp	de
2	num	2
ml	n	ml
em	prp	em
situações	n	situação
de	prp	de
redução	n	redução
de	prp	de
a	art	o
mobilidade	n	mobilidade
(	punc	(
grau	n	grau
-1	num	-1
ou	conj-c	ou
–2	v-fin	–2
em	prp	em
a	art	o
escala	n	escala
-3	num	-3
/	punc	/
+3	num	+3
)	punc	)
,	punc	,
que	pron-indp	que
acontece	v-fin	acontecer
geralmente	adv	geralmente
3	num	3
vezes	n	vez
/	punc	/
dia	n	dia
,	punc	,
e	conj-c	e
por	prp	por
levodopa	n	levodopa
/	punc	/
carbidopa	n	carbidopa
de	prp	de
libertação	n	libertação
prolongada	v-pcp	prolongar
a	prp	a
a	art	o
noite	n	noite
;	punc	;
dose	n	dose
equivalente	adj	equivalente
de	prp	de
levodopa	n	levodopa
diária	adj	diária
=	prp	=
1165	num	1165
mg	n	mg
.	punc	.
Tem	v-fin	ter
classificação	n	classificação
3	num	3
em	prp	em
Hoehn	prop	hoehn
e	conj-c	e
Yahr	prop	yahr
;	punc	;
80	num	80
%	n	%
em	prp	em
Schwab	prop	schwab
e	conj-c	e
England	prop	england
;	punc	;
3,5	num	3,5
em	prp	em
UPDRS	prop	updrs
Parte	adv	parte
II	adj	ii
;	punc	;
16	num	16
em	prp	em
UPDRS	prop	updrs
parte	n	parte
III	adj	iii
;	punc	;
3	num	3
em	prp	em
UPDRS	prop	updrs
parte	n	parte
IV	adj	iv
;	punc	;
78	num	78
em	prp	em
PDQ39	prop	pdq39
;	punc	;
Tem	v-fin	ter
menos	pron-det	menos
de	prp	de
uma	art	um
queda	n	queda
diária	adj	diária
.	punc	.
