Doente	adv	doente
de	prp	de
o	art	o
sexo	n	sexo
feminino	adj	feminino
,	punc	,
31	num	31
anos	n	ano
,	punc	,
apresenta	v-fin	apresentar
queixas	n	queixa
sensitivas	adj	sensitivo
de	prp	de
as	art	o
extremidades	n	extremidade
com	prp	com
2	num	2
meses	n	mÃªs
de	prp	de
evolução	n	evolução
.	punc	.
A	art	o
O	art	o
exame	n	exame
neurológico	adj	neurológico
:	punc	:
hipostesia	n	hipostesia
termo-álgica	adj	termo-álgica
em	prp	em
meia	n	meia
e	conj-c	e
luva	n	luva
e	conj-c	e
arreflexia	n	arreflexia
miotática	adj	miotática
.	punc	.
EMG	prop	emg
:	punc	:
polineuropatia	n	polineuropatia
desmielinizante	adj	desmielinizante
sensitivo-motora	adj	sensitivo-motor
distal	n	distal
.	punc	.
Ausência	n	ausência
de	prp	de
proteína	n	proteína
M	prop	m
e	conj-c	e
anticorpos	n	anticorpo
anti-neuronais	adj	anti-neuronal
.	punc	.
Melhoria	prop	melhoria
sintomática	v-fin	sentir
com	prp	com
IG	prop	ig
EV	prop	ev
(	punc	(
0.4	num	0.4
g	n	g
/	punc	/
kg	n	kg
/	punc	/
dia	n	dia
3	num	3
dias	n	dia
,	punc	,
e	conj-c	e
pulso	n	pulso
mensal	adj	mensal
,	punc	,
4	num	4
meses	n	mÃªs
)	punc	)
.	punc	.
