Individuo	adj	individuo
de	prp	de
o	art	o
sexo	n	sexo
masculino	adj	masculino
,	punc	,
33	num	33
anos	n	ano
,	punc	,
Índice	prop	índice
de	prp	de
Massa	prop	massa
Corporal	prop	corporal
=	v-fin	=
32	num	32
,	punc	,
motorista	n	motorista
de	prp	de
pesados	n	pesado
.	punc	.
Referenciado	prop	referenciado
por	prp	por
outro	pron-det	outro
laboratório	n	laboratório
de	prp	de
o	art	o
sono	n	sono
,	punc	,
com	prp	com
PSG	prop	psg
com	prp	com
Índice	prop	índice
de	prp	de
Distúrbio	prop	distúrbio
Respiratório	prop	respiratório
(	punc	(
RDI	prop	rdi
)	punc	)
=	v-fin	=
13,4	num	13,4
e	conj-c	e
TLMS	prop	tlms
com	prp	com
latência	n	latência
média	adj	média
de	prp	de
3	num	3
minutos	n	minuto
.	punc	.
Queixas	n	queixa
de	prp	de
SDE	prop	sde
desde	prp	desde
há	v-fin	haver
6	num	6
anos	n	ano
.	punc	.
Epworth	prop	epworth
=	v-fin	=
19	num	19
.	punc	.
Sem	prp	sem
manifestações	n	manifestação
clínicas	adj	clínica
de	prp	de
Narcolepsia	prop	narcolepsia
,	punc	,
sem	prp	sem
insónia	n	insónia
.	punc	.
Má	prop	má
higiene	n	higiene
de	prp	de
o	art	o
sono	n	sono
e	conj-c	e
privação	n	privação
crónica	adj	crónica
de	prp	de
sono	n	sono
.	punc	.
PSG	prop	psg
com	prp	com
sindroma	n	sindroma
de	prp	de
apneia	n	apneia
de	prp	de
o	art	o
sono	n	sono
(	punc	(
SAS	prop	sas
)	punc	)
posicional	adj	posicional
.	punc	.
TLMS	prop	tlms
com	prp	com
latência	n	latência
media	v-fin	medir
=	prp	=
11,4	num	11,4
minutos	n	minuto
e	conj-c	e
um	art	um
SoREMP	prop	soremp
.	punc	.
Adaptada	v-pcp	adaptar
prótese	adv	prótese
de	prp	de
avanço	n	avanço
mandibular	adj	mandibular
(	punc	(
PAM	prop	pam
)	punc	)
.	punc	.
Repete	prop	repete
PSG	punc	psg
com	prp	com
PAM	prop	pam
e	conj-c	e
TLMS	prop	tlms
.	punc	.
RDI	prop	rdi
=	v-fin	=
9,3	num	9,3
.	punc	.
TLMS	prop	tlms
com	prp	com
latência	n	latência
média	adj	média
=	prp	=
5,7	num	5,7
minutos	n	minuto
e	conj-c	e
4	num	4
SoREMP	prop	soremp
.	punc	.
Epworth	prop	epworth
=	v-fin	=
17	num	17
.	punc	.
Mantém	prop	mantém
privação	n	privação
de	prp	de
sono	n	sono
.	punc	.
Realiza	prop	realiza
PSG	punc	psg
com	prp	com
PAM	prop	pam
,	punc	,
TLMS	prop	tlms
e	conj-c	e
actigrafia	n	actigrafia
em	prp	em
período	n	período
de	prp	de
férias	n	férias
,	punc	,
sem	prp	sem
privação	n	privação
de	prp	de
sono	n	sono
.	punc	.
PSG	prop	psg
com	prp	com
RDI=	prop	rdi=
3,4	num	3,4
.	punc	.
TLMS	prop	tlms
com	prp	com
latência	n	latência
média	adj	média
de	prp	de
6,2	num	6,2
minutos	n	minuto
e	conj-c	e
5	num	5
SoREMP	prop	soremp
.	punc	.
Actigrafia	n	actigrafia
mostra	v-fin	mostrar
alguma	pron-det	algum
irregularidade	n	irregularidade
de	prp	de
o	art	o
padrão	n	padrão
de	prp	de
sono	n	sono
.	punc	.
Melhoria	prop	melhoria
de	prp	de
a	art	o
SDE	prop	sde
subjectiva	adj	subjectivo
,	punc	,
Epworth	prop	epworth
=	v-fin	=
9	num	9
.	punc	.
