Mulher	prop	mulher
de	prp	de
86	num	86
anos	n	ano
,	punc	,
com	prp	com
instalação	n	instalação
súbita	adj	súbita
de	prp	de
défice	n	défice
motor	adj	motor
esquerdo	adj	esquerdo
e	conj-c	e
incontinência	n	incontinência
esfincteriana	adj	esfincteriana
.	punc	.
A	art	o
O	art	o
exame	n	exame
neurológico	adj	neurológico
apresentava	v-fin	apresentar
retro-	n	retro-
e	conj-c	e
laterocolis	n	laterocolil
esquerdo	adj	esquerdo
,	punc	,
hemiparésia	n	hemiparésia
esquerda	adj	esquerdo
com	prp	com
força	n	força
grau	adj	grau
1	num	1
e	conj-c	e
espasticidade	n	espasticidade
de	prp	de
o	art	o
membro	n	membro
superior	adj	superior
esquerdo	adj	esquerdo
,	punc	,
que	pron-indp	que
assumiu	v-fin	assumir
posição	n	posição
em	prp	em
flexão	n	flexão
de	prp	de
o	art	o
antebraço	n	antebraço
,	punc	,
flexão	n	flexão
de	prp	de
o	art	o
punho	n	punho
e	conj-c	e
articulações	n	articulação
metacárpico-	adj	metacárpico-
falângicas	adj	falângica
e	conj-c	e
interfalângicas	adj	interfalângica
(	punc	(
vídeo	n	vídeo
)	punc	)
.	punc	.
A	art	o
hipertonia	n	hipertonia
regrediu	v-fin	regredir
gradualmente	adv	gradualmente
após	prp	após
48	num	48
horas	n	hora
.	punc	.
Realizou	v-fin	realizar
ressonância	n	ressonância
magnética	adj	magnética
que	pron-indp	que
revelou	v-fin	revelar
lesão	n	lesão
córtico-subcortical	adj	córtico-subcortical
frontal	adj	frontal
parassagital	adj	parassagital
direita	n	direita
,	punc	,
afectando	v-ger	afectar
sobretudo	adv	sobretudo
a	art	o
circunvolução	n	circunvolução
frontal	adj	frontal
superior	adj	superior
e	conj-c	e
a	art	o
circunvolução	n	circunvolução
de	prp	de
o	art	o
corpo	n	corpo
caloso	adj	caloso
.	punc	.
