Homem	n	homem
de	prp	de
72	num	72
anos	n	ano
com	prp	com
cefaleia	n	cefaleia
fronto-temporal	adj	fronto-temporal
esquerda	n	esquerda
de	prp	de
novo	adj	novo
,	punc	,
severa	n	severa
e	conj-c	e
refractária	n	refractária
,	punc	,
com	prp	com
uma	art	um
semana	n	semana
de	prp	de
evolução	n	evolução
.	punc	.
O	art	o
eco-doppler	n	eco-doppler
foi	v-fin	ser
compatível	adj	compatível
com	prp	com
arterite	n	arterite
de	prp	de
as	art	o
artérias	n	artéria
temporais	adj	temporal
superficiais	adj	superficial
(	punc	(
ATS	prop	ats
)	punc	)
,	punc	,
apresentando	v-ger	apresentar
bilateralmente	adv	bilateralmente
sinal	n	sinal
de	prp	de
halo	n	halo
.	punc	.
Admitiu	v-fin	admitir
se	pron-pers	se
ACG	prop	acg
e	conj-c	e
iniciou	v-fin	iniciar
se	pron-pers	se
corticoterapia	v-pcp	corticoteraper
.	punc	.
O	art	o
doente	adj	doente
regressou	v-fin	regressar
menos	pron-det	menos
de	prp	de
24	num	24
horas	n	hora
depois	adv	depois
,	punc	,
com	prp	com
um	art	um
exantema	n	exantema
papulo-vesicular	adj	papulo-vesicular
em	prp	em
a	art	o
região	n	região
de	prp	de
o	art	o
nervo	n	nervo
oftálmico	adj	oftálmico
esquerdo	adj	esquerdo
,	punc	,
compatível	adj	compatível
com	prp	com
HZO	prop	hzo
.	punc	.
Associou	v-fin	associar
se	pron-pers	se
valaciclovir	v-inf	valer
,	punc	,
com	prp	com
melhoria	n	melhoria
.	punc	.
.	punc	.
A	art	o
biópsia	n	biópsia
unilateral	adj	unilateral
(	punc	(
direita	n	direita
)	punc	)
de	prp	de
a	art	o
artéria	n	artéria
temporal	adj	temporal
superficial	adj	superficial
foi	v-fin	ser
negativa	adj	negativo
para	prp	para
ACG	prop	acg
,	punc	,
e	conj-c	e
a	art	o
pesquisa	n	pesquisa
de	prp	de
VZV	prop	vzv
por	prp	por
PCR	prop	pcr
em	prp	em
a	art	o
peça	n	peça
de	prp	de
essa	pron-det	esse
biópsia	n	biópsia
foi	v-fin	ser
também	adv	também
negativa	adj	negativo
.	punc	.
Duas	num	dois
semanas	n	semana
depois	adv	depois
o	art	o
doente	adj	doente
desenvolveu	v-fin	desenvolver
quadro	n	quadro
de	prp	de
encefalite	n	encefalite
a	prp	a
VZV	prop	vzv
(	punc	(
alterações	n	alteração
de	prp	de
o	art	o
comportamento	n	comportamento
,	punc	,
desorientação	n	desorientação
,	punc	,
LCR	prop	lcr
com	prp	com
29,6	num	29,6
células	n	célula
/	punc	/
mm3	num	mm3
e	conj-c	e
114.2	num	114.2
mg	n	mg
/	punc	/
dL	prp	dl
proteínas	n	proteína
;	punc	;
pesquisa	n	pesquisa
por	prp	por
PCR	prop	pcr
em	prp	em
o	art	o
LCR	prop	lcr
positiva	adj	positivo
para	prp	para
VZV	prop	vzv
)	punc	)
e	conj-c	e
suspendeu	v-fin	suspender
se	pron-pers	se
a	prp	a
corticoterapia	n	corticoterapia
.	punc	.
Em	prp	em
O	art	o
entanto	n	entanto
,	punc	,
uma	num	um
semana	n	semana
depois	adv	depois
de	prp	de
terminar	v-inf	terminar
o	art	o
desmame	n	desmame
,	punc	,
desenvolveu	v-fin	desenvolver
recorrência	n	recorrência
de	prp	de
a	art	o
cefaleia	n	cefaleia
e	conj-c	e
de	prp	de
o	art	o
"	punc	"
sinal	n	sinal
de	prp	de
halo	n	halo
"	punc	"
em	prp	em
o	art	o
eco-doppler	n	eco-doppler
de	prp	de
as	art	o
ATS	prop	ats
.	punc	.
Além	adv	além
de	prp	de
isso	pron-indp	isso
,	punc	,
apresentava	v-fin	apresentar
neuropatia	n	neuropatia
óptica	adj	óptica
isquémica	adj	isquémica
a	prp	a
a	art	o
esquerda	n	esquerda
e	conj-c	e
aumento	n	aumento
de	prp	de
a	art	o
VS	prop	vs
(	punc	(
98	num	98
mm	n	mm
)	punc	)
e	conj-c	e
de	prp	de
a	art	o
PCR	prop	pcr
(	punc	(
13.7	num	13.7
mg	n	mg
/	punc	/
dL	prp	dl
)	punc	)
.	punc	.
Admitiu	v-fin	admitir
se	pron-pers	se
ACG	prop	acg
e	conj-c	e
reintroduziram	v-fin	reintroduzir
se	pron-pers	se
os	art	o
corticóides	n	corticóide
,	punc	,
com	prp	com
benefício	n	benefício
sustentado	v-pcp	sustentar
.	punc	.
