Doente	adv	doente
de	prp	de
o	art	o
sexo	n	sexo
feminino	adj	feminino
,	punc	,
50	num	50
anos	n	ano
,	punc	,
com	prp	com
episódios	n	episódio
de	prp	de
enxaqueca	n	enxaqueca
sem	prp	sem
aura	n	aura
em	prp	em
a	art	o
juventude	n	juventude
,	punc	,
internada	v-pcp	internar
em	prp	em
2007	num	2007
por	prp	por
cefaleia	n	cefaleia
orbitária	adj	orbitária
e	conj-c	e
hemicrania	n	hemicrania
esquerda	adj	esquerdo
,	punc	,
pulsátil	adj	pulsátil
,	punc	,
acompanhada	v-pcp	acompanhar
de	prp	de
ptose	n	ptose
e	conj-c	e
ofalmoparésia	n	ofalmoparésia
extrínseca	adj	extrínseca
ipsilaterais	adj	ipsilateral
,	punc	,
compatíveis	adj	compatível
com	prp	com
parésia	n	parésia
de	prp	de
o	art	o
terceiro	adj	terceiro
nervo	n	nervo
craniano	adj	craniano
.	punc	.
A	art	o
investigação	n	investigação
complementar	adj	complementar
,	punc	,
incluindo	v-ger	incluir
RM	prop	rm
encefálica	v-fin	encefáliquir>
,	punc	,
angio-RM	num	angio-rm
,	punc	,
serologias	n	serologia
virais	adj	viral
,	punc	,
estudo	n	estudo
de	prp	de
vasculites	n	vasculite
,	punc	,
exame	n	exame
citoquímico	adj	citoquímico
de	prp	de
o	art	o
LCR	prop	lcr
,	punc	,
foi	v-fin	ser
negativa	adj	negativo
.	punc	.
O	art	o
quadro	n	quadro
teve	v-fin	ter
resolução	n	resolução
progressiva	adj	progressivo
e	conj-c	e
completa	adj	completa
,	punc	,
a	prp	a
cefaleia	n	cefaleia
em	prp	em
dias	n	dia
,	punc	,
a	prp	a
oftalmoparésia	n	oftalmoparésia
em	prp	em
semanas	n	semana
.	punc	.
Em	prp	em
2011	num	2011
teve	v-fin	ter
parésia	n	parésia
facial	adj	facial
periferica	adj	periferica
direita	n	direita
,	punc	,
mantendo	v-ger	manter
ligeira	adj	ligeiro
assimetria	n	assimetria
facial	adj	facial
sequelar	n	sequelar
.	punc	.
Em	prp	em
2013	num	2013
é	v-fin	ser
novamente	adv	novamente
internada	v-pcp	internar
por	prp	por
cefaleia	n	cefaleia
orbitária	adj	orbitária
e	conj-c	e
periorbtária	adj	periorbtária
direita	n	direita
,	punc	,
opressiva	adj	opressivo
,	punc	,
com	prp	com
foto	n	foto
e	conj-c	e
fonofobia	n	fonofobia
,	punc	,
e	conj-c	e
,	punc	,
dois	num	dois
dias	n	dia
após	prp	após
a	art	o
instalação	n	instalação
de	prp	de
a	art	o
cefaleia	n	cefaleia
,	punc	,
diplopia	n	diplopia
.	punc	.
Em	prp	em
A	art	o
observação	n	observação
apresentava	v-fin	apresentar
ptose	n	ptose
,	punc	,
midríase	n	midríase
e	conj-c	e
oftalmoparésia	n	oftalmoparésia
a	prp	a
a	art	o
direita	n	direita
,	punc	,
compatíveis	adj	compatível
com	prp	com
parésia	n	parésia
de	prp	de
o	art	o
terceiro	adj	terceiro
nervo	n	nervo
craniano	adj	craniano
.	punc	.
Foi	adv	foi
realizada	v-pcp	realizar
novamente	adv	novamente
investigação	n	investigação
complementar	adj	complementar
:	punc	:
RM	prop	rm
encefálica	v-fin	encefáliquir>
;	punc	;
angio-RM	art	angio-rm
;	punc	;
avaliação	n	avaliação
analítica	adj	analítica
sérica	adj	sérica
,	punc	,
incluindo	v-ger	incluir
avaliação	n	avaliação
de	prp	de
causas	n	causa
infecciosas	adj	infeccioso
e	conj-c	e
inflamatórias	adj	inflamatória
;	punc	;
estudo	n	estudo
de	prp	de
o	art	o
LCR	prop	lcr
,	punc	,
com	prp	com
avaliação	n	avaliação
citoquímica	adj	citoquímica
,	punc	,
microbiológica	adj	microbiológica
,	punc	,
PCR	prop	pcr
para	prp	para
vírus	n	vírus
neurotrópicos	adj	neurotrópico
,	punc	,
BK	prop	bk
e	conj-c	e
Borrelia	prop	borrelia
,	punc	,
imunoelectroforese	v-fin	imunir
de	prp	de
proteínas	n	proteína
.	punc	.
Toda	pron-det	todo
esta	pron-det	este
foi	v-fin	ser
negativa	adj	negativo
,	punc	,
exceptuando	v-ger	exceptuar
o	art	o
diagnóstico	n	diagnóstico
de	prp	de
novo	adj	novo
de	prp	de
intolerância	n	intolerância
a	prp	a
a	art	o
glicose	n	glicose
oral	adj	oral
.	punc	.
Iniciou	v-fin	iniciar
terapêutica	n	terapêutica
com	prp	com
prednisolona	n	prednisolona
.	punc	.
Ocorreu	prop	ocorreu
melhoria	v-fin	melhorer
clínica	n	clínica
progressiva	adj	progressivo
,	punc	,
com	prp	com
resolução	n	resolução
completa	adj	completa
,	punc	,
novamente	adv	novamente
a	art	o
cefaleia	n	cefaleia
em	prp	em
dias	n	dia
,	punc	,
a	prp	a
oftalmoparésia	n	oftalmoparésia
em	prp	em
semanas	n	semana
.	punc	.
Cinco	num	cinco
meses	n	mÃªs
depois	adv	depois
,	punc	,
mantém-	v-fin	manter-
se	pron-pers	se
assintomática	adj	assintomática
e	conj-c	e
sem	prp	sem
alterações	n	alteração
de	prp	de
a	art	o
oculomotricidade	n	oculomotricidade
.	punc	.
