Homem	n	homem
de	prp	de
52	num	52
anos	n	ano
,	punc	,
com	prp	com
antecedentes	n	antecedente
pessoais	adj	pessoal
de	prp	de
obesidade	n	obesidade
e	conj-c	e
hábitos	n	hábito
tabágicos	adj	tabágico
,	punc	,
recorre	v-fin	recorrer
a	prp	a
o	art	o
serviço	n	serviço
de	prp	de
urgência	n	urgência
por	prp	por
quadro	n	quadro
evolutivo	adj	evolutivo
de	prp	de
um	art	um
ano	n	ano
de	prp	de
dor	n	dor
em	prp	em
a	art	o
região	n	região
lateral	adj	lateral
de	prp	de
a	art	o
coxa	n	coxa
e	conj-c	e
joelho	n	joelho
direito	adj	direito
,	punc	,
que	pron-indp	que
irradiava	v-fin	irradiar
até	prp	até
a	prp	a
o	art	o
dorso	n	dorso
de	prp	de
o	art	o
pé	n	pé
,	punc	,
com	prp	com
agravamento	n	agravamento
em	prp	em
as	art	o
últimas	adj	última
semanas	n	semana
de	prp	de
a	art	o
marcha	n	marcha
,	punc	,
flexão	n	flexão
e	conj-c	e
extensão	n	extensão
de	prp	de
o	art	o
joelho	n	joelho
,	punc	,
e	conj-c	e
défice	n	défice
motor	adj	motor
em	prp	em
a	art	o
dorsiflexão	n	dorsiflexão
de	prp	de
o	art	o
pé	n	pé
ipsilateral	adj	ipsilateral
.	punc	.
Associava	v-fin	associar
se	pron-pers	se
a	prp	a
dor	n	dor
lombar	adj	lombar
.	punc	.
A	art	o
O	art	o
exame	n	exame
neurológico	adj	neurológico
apresentava	v-fin	apresentar
plegia	n	plegia
em	prp	em
a	art	o
dorsiflexão	n	dorsiflexão
de	prp	de
o	art	o
pé	n	pé
direito	adj	direito
,	punc	,
hipostesia	n	hipostesia
táctil	adj	táctil
e	conj-c	e
álgica	adj	álgica
em	prp	em
a	art	o
parte	n	parte
lateral	adj	lateral
de	prp	de
a	art	o
perna	n	perna
e	conj-c	e
dorso	n	dorso
de	prp	de
o	art	o
pé	n	pé
,	punc	,
manobra	n	manobra
de	prp	de
laségue	n	laségue
positiva	adj	positivo
,	punc	,
e	conj-c	e
dor	n	dor
a	prp	a
o	art	o
toque	n	toque
em	prp	em
a	art	o
parte	n	parte
lateral	adj	lateral
de	prp	de
a	art	o
perna	n	perna
e	conj-c	e
joelho	n	joelho
.	punc	.
A	art	o
ressonância	n	ressonância
magnética	adj	magnética
(	punc	(
RM	prop	rm
)	punc	)
lombo-sagrada	n	lombo-sagrada
e	conj-c	e
estudo	n	estudo
analítico	adj	analítico
apresentavam	v-fin	apresentar
se	pron-pers	se
sem	prp	sem
alterações	n	alteração
.	punc	.
O	art	o
estudo	n	estudo
neurofisiológico	adj	neurofisiológico
revelou	v-fin	revelar
uma	art	um
lesão	n	lesão
axonal	adj	axonal
subaguda-crónica	adj	subaguda-crónica
grave	adj	grave
de	prp	de
o	art	o
nervo	n	nervo
peronial	adj	peronial
a	prp	a
nível	n	nível
ou	conj-c	ou
abaixo	adv	abaixo
de	prp	de
a	art	o
cabeça	n	cabeça
de	prp	de
o	art	o
perónio	n	perónio
.	punc	.
A	art	o
ecografia	n	ecografia
e	conj-c	e
RM	n	rm
de	prp	de
o	art	o
joelho	n	joelho
demonstraram	v-fin	demonstrar
sinais	n	sinal
de	prp	de
espessamento	n	espessamento
de	prp	de
o	art	o
nervo	n	nervo
peronial	adj	peronial
comum	adj	comum
,	punc	,
sugestiva	adj	sugestivo
de	prp	de
neuropatia	n	neuropatia
por	prp	por
conflito	n	conflito
de	prp	de
espaço	n	espaço
.	punc	.
O	art	o
doente	adj	doente
foi	v-fin	ser
submetido	v-pcp	submeter
a	prp	a
cirurgia	n	cirurgia
descompressiva	adj	descompressivo
,	punc	,
com	prp	com
drenagem	n	drenagem
de	prp	de
quisto	n	quisto
gangliónico	adj	gangliónico
,	punc	,
a	prp	a
nível	n	nível
de	prp	de
a	art	o
cabeça	n	cabeça
de	prp	de
o	art	o
perónio	n	perónio
.	punc	.
Em	prp	em
A	art	o
reavaliação	n	reavaliação
a	prp	a
os	art	o
seis	num	seis
meses	n	mÃªs
,	punc	,
o	art	o
doente	adj	doente
mantinha	n	manta
o	art	o
défice	n	défice
motor	adj	motor
de	prp	de
o	art	o
pé	n	pé
direito	adj	direito
,	punc	,
sendo	v-ger	ser
aplicado	v-pcp	aplicar
um	art	um
dispositivo	n	dispositivo
foot-up	adj	foot-up
.	punc	.
