Fratria	n	fratria
de	prp	de
6	num	6
irmãs	n	irmã
e	conj-c	e
um	art	um
irmão	n	irmão
,	punc	,
em	prp	em
que	pron-indp	que
3	num	3
irmãs	n	irmã
iniciam	v-fin	iniciar
doença	n	doença
de	prp	de
Parkinson	prop	parkinson
a	prp	a
os	art	o
54	num	54
,	punc	,
64	num	64
e	conj-c	e
70	num	70
anos	n	ano
e	conj-c	e
apresentam	v-fin	apresentar
a	art	o
mutação	n	mutação
R1441H	prop	r1441h
.	punc	.
Duas	num	dois
irmãs	n	irmã
são	v-fin	ser
portadoras	adj	portador
assintomáticas	n	assintomática
a	prp	a
os	art	o
63	num	63
e	conj-c	e
76	num	76
anos	n	ano
de	prp	de
idade	n	idade
.	punc	.
A	art	o
mãe	n	mãe
faleceu	v-fin	falecer
a	prp	a
os	art	o
70	num	70
anos	n	ano
e	conj-c	e
apresentava	v-fin	apresentar
tremor	n	tremor
,	punc	,
assim	adv	assim
como	adv	como
os	art	o
5	num	5
tios	n	tio
maternos	adj	materno
.	punc	.
A	art	o
forma	n	forma
de	prp	de
início	n	início
e	conj-c	e
o	art	o
predomínio	n	predomínio
fenotípico	adj	fenotípico
de	prp	de
a	art	o
doença	n	doença
é	v-fin	ser
em	prp	em
os	art	o
três	num	três
casos	n	caso
tremórico	adj	tremórico
.	punc	.
A	art	o
doente	adj	doente
com	prp	com
início	n	início
a	prp	a
os	art	o
54	num	54
anos	n	ano
apresenta-	v-fin	apresentar-
se	pron-pers	se
a	prp	a
os	art	o
12	num	12
anos	n	ano
de	prp	de
doença	n	doença
sem	prp	sem
alterações	n	alteração
cognitivas	adj	cognitivo
valorizáveis	adj	valorizável
,	punc	,
em	prp	em
estadio	n	estadio
HY	prop	hy
3	num	3
;	punc	;
a	art	o
irmã	n	irmã
com	prp	com
início	n	início
a	prp	a
os	art	o
64	num	64
anos	n	ano
inicia	v-fin	iniciar
quadro	n	quadro
demencial	adj	demencial
a	prp	a
os	art	o
10	num	10
anos	n	ano
de	prp	de
doença	n	doença
,	punc	,
apresenta	v-fin	apresentar
em	prp	em
esta	pron-det	este
data	n	data
crises	adj	cris
de	prp	de
pânico	n	pânico
recorrentes	adj	recorrente
,	punc	,
e	conj-c	e
falece	v-fin	falecer
a	prp	a
os	art	o
16	num	16
anos	n	ano
de	prp	de
doença	n	doença
em	prp	em
HY	prop	hy
4	num	4
;	punc	;
a	art	o
irmã	n	irmã
que	pron-indp	que
inicia	v-fin	iniciar
a	art	o
doença	n	doença
a	prp	a
os	art	o
70	num	70
anos	n	ano
tem	v-fin	ter
a	art	o
os	art	o
4	num	4
anos	n	ano
de	prp	de
evolução	n	evolução
de	prp	de
doença	n	doença
,	punc	,
um	art	um
parkinsonismo	n	parkinsonismo
ligeiro	adj	ligeiro
,	punc	,
HY	prop	hy
2	num	2
,	punc	,
destacando	v-ger	destacar
se	pron-pers	se
igualmente	adv	igualmente
a	art	o
presença	n	presença
de	prp	de
síndroma	n	síndroma
ansiodepressivo	adj	ansiodepressivo
com	prp	com
crises	n	crise
de	prp	de
pânico	n	pânico
recorrentes	adj	recorrente
.	punc	.
