Mulher	pron-det	mulher
de	prp	de
36	num	36
anos	n	ano
,	punc	,
previamente	adv	previamente
saudável	adj	saudável
.	punc	.
Recorreu	v-fin	recorrer
a	art	o
o	art	o
Serviço	n	serviço
de	prp	de
Urgência	n	urgência
por	prp	por
quadro	n	quadro
de	prp	de
cefaleias	n	cefaleia
holocranianas	adj	holocraniana
intensas	adj	intenso
associadas	v-pcp	associar
a	prp	a
vómitos	n	vómito
e	conj-c	e
febre	n	febre
com	prp	com
3	num	3
dias	n	dia
de	prp	de
evolução	n	evolução
.	punc	.
A	art	o
O	art	o
exame	n	exame
neurológico	adj	neurológico
não	adv	não
apresentava	v-fin	apresentar
sinais	n	sinal
de	prp	de
irritação	n	irritação
meníngea	adj	meníngea
.	punc	.
LCR	prop	lcr
:	punc	:
pleocitose	n	pleocitose
(	punc	(
686	num	686
/	punc	/
uL	prop	ul
,	punc	,
92	num	92
%	n	%
linfócitos	adj	linfócito
)	punc	)
,	punc	,
hiperproteinorráquia	n	hiperproteinorráquia
(	punc	(
2.25	num	2.25
g	n	g
/	punc	/
L	prop	l
)	punc	)
e	conj-c	e
hipoglicorráquia	n	hipoglicorráquia
(	punc	(
30	num	30
mg	n	mg
/	punc	/
dL	prp	dl
;	punc	;
sérica	adj	sérica
123	num	123
mg	n	mg
/	punc	/
dL	prp	dl
)	punc	)
.	punc	.
Iniciado	v-pcp	iniciar
tratamento	n	tratamento
com	prp	com
Ceftriaxone	prop	ceftriaxone
e	conj-c	e
Aciclovir	prop	aciclovir
.	punc	.
A	art	o
O	art	o
terceiro	adj	terceiro
dia	n	dia
de	prp	de
internamento	n	internamento
,	punc	,
isolada	v-pcp	isolar
Listeria	prop	listeria
monocytogenes	n	monocytogene
em	prp	em
o	art	o
LCR	prop	lcr
,	punc	,
tendo	v-ger	ter
sido	v-pcp	ser
instituída	v-pcp	instituir
terapêutica	n	terapêutica
com	prp	com
ampicilia	n	ampicilia
.	punc	.
Alta	prop	alta
depois	adv	depois
de	prp	de
completado	v-pcp	completar
ciclo	n	ciclo
de	prp	de
21	num	21
dias	n	dia
de	prp	de
antibioterapia	n	antibioterapia
,	punc	,
assintomática	n	assintomática
e	conj-c	e
sem	prp	sem
alterações	n	alteração
a	prp	a
o	art	o
exame	n	exame
neurológico	adj	neurológico
.	punc	.
