Paciente	adv	paciente
de	prp	de
63	num	63
anos	n	ano
de	prp	de
idade	n	idade
,	punc	,
sexo	n	sexo
masculino	adj	masculino
,	punc	,
natural	adj	natural
de	prp	de
a	art	o
Holanda	prop	holanda
,	punc	,
com	prp	com
hábitos	n	hábito
alcoólicos	adj	alcoólico
moderados	n	moderado
que	pron-indp	que
desde	prp	desde
há	v-fin	haver
3	num	3
anos	n	ano
apresenta	v-fin	apresentar
alterações	n	alteração
de	prp	de
a	art	o
marcha	n	marcha
,	punc	,
com	prp	com
evolução	n	evolução
lentamente	adj	lentamente
progressiva	adj	progressivo
.	punc	.
Observado	v-pcp	observar
em	prp	em
Novembro	n	novembro
de	prp	de
2014	num	2014
com	prp	com
o	art	o
exame	n	exame
:	punc	:
colaborante	adj	colaborante
,	punc	,
sem	prp	sem
alteração	n	alteração
de	prp	de
os	art	o
pares	n	par
cranianos	adj	craniano
,	punc	,
sem	prp	sem
défice	n	défice
de	prp	de
força	n	força
muscular	adj	muscular
,	punc	,
marcha	n	marcha
espástica	adj	espástica
/	punc	/
atáxica	n	atáxica
,	punc	,
alterações	n	alteração
de	prp	de
a	art	o
sensibilidade	n	sensibilidade
com	prp	com
distribuição	n	distribuição
em	prp	em
meia	n	meia
e	conj-c	e
luva	n	luva
,	punc	,
hiperreflexia	n	hiperreflexia
miotática	adj	miotática
generalizada	v-pcp	generalizar
excepto	prp	excepto
mentoniano	n	mentoniano
e	conj-c	e
CP	prop	cp
em	prp	em
extensão	n	extensão
bilateral	adj	bilateral
.	punc	.
Em	prp	em
Dezembro	n	dezembro
de	prp	de
2014	num	2014
,	punc	,
sem	prp	sem
qualquer	pron-det	qualquer
medicação	n	medicação
específica	adj	específica
e	conj-c	e
sem	prp	sem
novas	adj	novo
queixas	n	queixa
,	punc	,
mantinha	v-fin	manter
uma	art	um
marcha	n	marcha
espástica	adj	espástica
/	punc	/
atáxica	prp	atáxica
mas	conj-c	mas
com	prp	com
um	art	um
nível	n	nível
álgico	adj	álgico
C4	prop	c4
.	punc	.
O	art	o
estudo	n	estudo
de	prp	de
o	art	o
LCR	prop	lcr
mostrou	v-fin	mostrar
um	art	um
aumento	n	aumento
de	prp	de
as	art	o
proteínas	n	proteína
(	punc	(
79mg	num	79mg
/	punc	/
dl	n	dl
)	punc	)
e	conj-c	e
a	art	o
presença	n	presença
de	prp	de
bandas	n	banda
oligoclonais	adj	oligoclonal
em	prp	em
o	art	o
liquor	n	liquor
.	punc	.
RMN	prop	rmn
CE	prop	ce
identificou	v-fin	identificar
múltiplas	n	múltipla
lesões	n	lesão
de	prp	de
hipersinal	n	hipersinal
em	prp	em
DP	prop	dp
/	punc	/
T2	prop	t2
e	conj-c	e
Flair	prop	flair
envolvendo	v-ger	envolver
a	art	o
substância	n	substância
branca	adj	branco
periventricular	adj	periventricular
bilateral	adj	bilateral
e	conj-c	e
o	art	o
corpo	n	corpo
caloso	adj	caloso
compatíveis	adj	compatível
com	prp	com
lesões	n	lesão
desmielinizantes	adj	desmielinizante
.	punc	.
RMN	prop	rmn
Cervico-Dorsal	adj	cervico-dorsal
revelou	v-fin	revelar
lesões	n	lesão
medulares	adj	medular
com	prp	com
hipersinal	n	hipersinal
em	prp	em
T2	prop	t2
e	conj-c	e
STIR	prop	stir
localizadas	v-pcp	localizar
a	prp	a
nível	n	nível
C2-C3	prop	c2-c3
e	conj-c	e
D8-D9	prop	d8-d9
em	prp	em
provável	adj	provável
relação	n	relação
com	prp	com
lesões	n	lesão
desmielinizantes	adj	desmielinizante
associada	v-pcp	associar
a	prp	a
atrofia	n	atrofia
de	prp	de
o	art	o
cordão	n	cordão
medular	adj	medular
.	punc	.
PEV	prop	pev
e	conj-c	e
PESS	prop	pess
de	prp	de
os	art	o
membros	n	membro
superiores	adj	superior
eram	v-fin	ser
compatíveis	adj	compatível
com	prp	com
desmielinização	n	desmielinização
de	prp	de
o	art	o
sistema	n	sistema
nervoso	adj	nervoso
central	n	central
.	punc	.
