Mulher	pron-det	mulher
de	prp	de
36	num	36
anos	n	ano
,	punc	,
com	prp	com
antecedentes	n	antecedente
de	prp	de
hipoplasia	n	hipoplasia
congénita	adj	congénita
de	prp	de
o	art	o
membro	n	membro
superior	adj	superior
direito	n	direito
e	conj-c	e
PCT	prop	pct
desde	prp	desde
os	art	o
20	num	20
anos	n	ano
,	punc	,
teve	v-fin	ter
em	prp	em
1994	num	1994
episódio	n	episódio
de	prp	de
nevrite	n	nevrite
óptica	adj	óptica
a	prp	a
a	art	o
direita	n	direita
.	punc	.
Resolveu	v-fin	resolver
parcialmente	adv	parcialmente
sem	prp	sem
tratamento	n	tratamento
,	punc	,
ficando	v-ger	ficar
com	prp	com
escotoma	n	escotoma
sequelar	adj	sequelar
.	punc	.
Em	prp	em
1996	num	1996
iniciou	v-fin	iniciar
parestesias	n	parestesia
em	prp	em
as	art	o
mãos	n	mão
e	conj-c	e
pés	n	pé
de	prp	de
predomínio	n	predomínio
a	prp	a
a	art	o
esquerda	n	esquerda
e	conj-c	e
cansaço	n	cansaço
fácil	adj	fácil
.	punc	.
Em	prp	em
2002	num	2002
fez	v-fin	fazer
RM	prop	rm
cerebral	adj	cerebral
que	pron-indp	que
revelou	v-fin	revelar
…alterações	n	…alterações
consistentes	adj	consistente
com	prp	com
lesões	n	lesão
desmielinizantes	adj	desmielinizante
…	adj	…
;	punc	;
RM	prop	rm
medular	punc	medular
e	conj-c	e
EMG	prop	emg
que	pron-indp	que
foram	v-fin	ser
normais	adv	normais
.	punc	.
Actualmente	adv	actualmente
refere	v-fin	referir
cervicalgias	n	cervicalgia
,	punc	,
para	prp	para
além	pp	além
de	prp	de
parestesias	n	parestesia
em	prp	em
a	art	o
palma	n	palma
de	prp	de
a	art	o
mão	n	mão
esquerda	adj	esquerdo
e	conj-c	e
escotoma	v-fin	escotar
a	art	o
a	art	o
direita	n	direita
.	punc	.
Apresenta	v-fin	apresentar
a	art	o
o	art	o
exame	n	exame
neurológico	adj	neurológico
escotoma	v-fin	escotar
a	prp	a
a	art	o
direita	n	direita
,	punc	,
hiperreflexia	n	hiperreflexia
osteotendinosa	adj	osteotendinosa
generalizada	v-pcp	generalizar
e	conj-c	e
disestesias	adj	disestesia
e	conj-c	e
hipostesia	n	hipostesia
em	prp	em
a	art	o
palma	n	palma
de	prp	de
a	art	o
mão	n	mão
esquerda	adj	esquerdo
.	punc	.
O	art	o
estudo	n	estudo
analítico	adj	analítico
(	punc	(
incluindo	v-ger	incluir
imunologia	n	imunologia
,	punc	,
serologia	n	serologia
e	conj-c	e
marcadores	n	marcador
víricos	adj	vírico
)	punc	)
foi	v-fin	ser
normal	adj	normal
.	punc	.
Os	art	o
potenciais	n	potencial
evocados	v-pcp	evocar
visuais	adj	visual
e	conj-c	e
somatossensitivos	adj	somatossensitivo
mostraram	v-fin	mostrar
alterações	n	alteração
consistentes	adj	consistente
com	prp	com
disfunção	n	disfunção
de	prp	de
vias	n	via
ópticas	adj	óptica
e	conj-c	e
sensitivas	adj	sensitivo
de	prp	de
os	art	o
cordões	n	cordão
posteriores	adj	posterior
.	punc	.
Repetiu	v-fin	repetir
RM	prop	rm
de	prp	de
o	art	o
neuroeixo	n	neuroeixo
em	prp	em
2006	n	2006
que	pron-indp	que
mostrou	v-fin	mostrar
múltiplas	adj	múltipla
lesões	n	lesão
supra	adj	supra
e	conj-c	e
infratentoriais	adj	infratentorial
,	punc	,
sem	prp	sem
reforço	n	reforço
após	prp	após
contraste	n	contraste
;	punc	;
atrofia	n	atrofia
corticosubcortical	adj	corticosubcortical
;	punc	;
hipersinal	n	hipersinal
medular	adj	medular
a	prp	a
nível	n	nível
C3-C6	prop	c3-c6
e	conj-c	e
T3	prop	t3
com	prp	com
discreto	adj	discreto
reforço	n	reforço
após	prp	após
gadolínio	n	gadolínio
em	prp	em
C5-C6	prop	c5-c6
;	punc	;
hérnia	prop	hérnia
discal	v-fin	discar
paramediana	adj	paramediana
direita	n	direita
em	prp	em
C5-C6	prop	c5-c6
.	punc	.
O	art	o
estudo	n	estudo
de	prp	de
controlo	n	controlo
anual	adj	anual
revelou	v-fin	revelar
nova	adj	novo
lesão	n	lesão
bulbar	adj	bulbar
,	punc	,
sem	prp	sem
captação	n	captação
de	prp	de
contraste	n	contraste
.	punc	.
