Rapaz	prop	rapaz
,	punc	,
6	num	6
anos	n	ano
de	prp	de
idade	n	idade
,	punc	,
com	prp	com
desenvolvimento	n	desenvolvimento
psicomotor	adj	psicomotor
normal	adj	normal
até	prp	até
a	prp	a
os	art	o
6	num	6
meses	n	mÃªs
,	punc	,
altura	n	altura
em	prp	em
que	pron-indp	que
inicia	v-fin	iniciar
crises	n	crise
parciais	adj	parcial
com	prp	com
generalização	n	generalização
e	conj-c	e
/	punc	/
ou	conj-c	ou
salvas	v-pcp	salvar
de	prp	de
mioclonias	n	mioclonia
de	prp	de
intensidade	n	intensidade
e	conj-c	e
distribuição	n	distribuição
variável	adj	variável
,	punc	,
com	prp	com
perda	n	perda
de	prp	de
contacto	n	contacto
por	prp	por
breves	n	breve
segundos	adj	segundo
com	prp	com
exacerbação	n	exacerbação
em	prp	em
as	art	o
intercorrências	n	intercorrência
infecciosas	adj	infeccioso
com	prp	com
ou	conj-c	ou
sem	prp	sem
febre	n	febre
.	punc	.
Em	prp	em
O	art	o
segundo	adj	segundo
ano	n	ano
de	prp	de
vida	n	vida
,	punc	,
assiste	v-fin	assistir
se	pron-pers	se
a	prp	a
uma	art	um
dificuldade	n	dificuldade
em	prp	em
o	art	o
controle	n	controlo
de	prp	de
as	art	o
crises	n	crise
,	punc	,
deterioração	n	deterioração
cognitiva	adj	cognitivo
se	pron-pers	se
comportamental	adj	comportamental
,	punc	,
com	prp	com
atraso	n	atraso
global	adj	global
de	prp	de
o	art	o
desenvolvimento	n	desenvolvimento
principalmente	adv	principalmente
em	prp	em
as	art	o
áreas	n	área
de	prp	de
a	art	o
linguagem	n	linguagem
e	conj-c	e
de	prp	de
coordenação	n	coordenação
e	conj-c	e
de	prp	de
motricidade	n	motricidade
fina	adj	fino
,	punc	,
com	prp	com
aparecimento	n	aparecimento
de	prp	de
ataxia	n	ataxia
.	punc	.
