Criança	n	criança
de	prp	de
o	art	o
sexo	n	sexo
feminino	adj	feminino
,	punc	,
10	num	10
anos	n	ano
de	prp	de
idade	n	idade
,	punc	,
com	prp	com
antecedentes	n	antecedente
de	prp	de
ataxia	n	ataxia
,	punc	,
atraso	n	atraso
de	prp	de
a	art	o
linguagem	n	linguagem
e	conj-c	e
episódios	n	episódio
de	prp	de
obnubilação	n	obnubilação
e	conj-c	e
cefaleia	v-fin	cefalear
desencadeados	v-pcp	desencadear
por	prp	por
traumatismo	n	traumatismo
craniano	adj	craniano
ligeiro	adj	ligeiro
.	punc	.
A	art	o
mãe	n	mãe
tem	v-fin	ter
episódios	n	episódio
recorrentes	adj	recorrente
de	prp	de
afasia	n	afasia
,	punc	,
hemiplegia	n	hemiplegia
e	conj-c	e
cefaleia	n	cefaleia
.	punc	.
Em	prp	em
2011	num	2011
,	punc	,
após	prp	após
traumatismo	n	traumatismo
ligeiro	adj	ligeiro
,	punc	,
desenvolveu	v-fin	desenvolver
cefaleia	n	cefaleia
,	punc	,
deterioração	n	deterioração
de	prp	de
o	art	o
estado	n	estado
de	prp	de
consciência	n	consciência
e	conj-c	e
status	n	status
epiléptico	adj	epiléptico
,	punc	,
associado	v-pcp	associar
a	prp	a
hemiplegia	n	hemiplegia
direita	adj	direito
e	conj-c	e
afasia	v-fin	afaser
.	punc	.
A	art	o
RM	prop	rm
cranioencefálica	v-fin	cranioencefáliquir>
(	punc	(
RM-CE	prop	rm-ce
)	punc	)
revelou	v-fin	revelar
edema	n	edema
citotóxico	adj	citotóxico
em	prp	em
o	art	o
hemisfério	n	hemisfério
cerebral	adj	cerebral
esquerdo	adj	esquerdo
e	conj-c	e
o	art	o
eletroencefalograma	n	eletroencefalograma
(	punc	(
EEG	prop	eeg
)	punc	)
demonstrou	v-fin	demonstrar
descargas	n	descarga
epileptiformes	adj	epileptiforme
periódicas	adj	periódica
(	punc	(
PLEDS	prop	pleds
)	punc	)
em	prp	em
o	art	o
hemisfério	n	hemisfério
esquerdo	adj	esquerdo
.	punc	.
A	art	o
análise	n	análise
de	prp	de
o	art	o
líquor	n	líquor
foi	v-fin	ser
normal	adj	normal
.	punc	.
Instituise	prop	instituise
midazolam	v-fin	midazolar
e	conj-c	e
metilprednisolona	n	metilprednisolona
e	conj-c	e
verificou	v-fin	verificar
se	pron-pers	se
melhoria	adj	melhoria
progressiva	n	progressiva
de	prp	de
a	art	o
hemiparésia	n	hemiparésia
e	conj-c	e
afasia	v-pcp	afaser
,	punc	,
tendo	v-ger	ter
persistido	v-pcp	persistir
ataxia	n	ataxia
e	conj-c	e
deterioração	n	deterioração
cognitiva	adj	cognitivo
.	punc	.
Em	prp	em
2012	num	2012
desenvolveu	v-fin	desenvolver
quadro	n	quadro
de	prp	de
cefaleia	n	cefaleia
,	punc	,
crises	n	crise
convulsivas	adj	convulsivo
,	punc	,
sonolência	n	sonolência
e	conj-c	e
confusão	n	confusão
,	punc	,
acompanhado	v-pcp	acompanhar
por	prp	por
hemiplegia	n	hemiplegia
esquerda	adj	esquerdo
,	punc	,
progredindo	v-ger	progredir
rapidamente	adv	rapidamente
para	prp	para
coma	n	coma
.	punc	.
O	art	o
EEG	prop	eeg
demonstrou	v-fin	demonstrar
PLEDS	prop	pleds
em	prp	em
o	art	o
hemisfério	n	hemisfério
direito	adj	direito
.	punc	.
A	art	o
RMCE	prop	rmce
revelou	v-fin	revelar
edema	n	edema
citotóxico	adj	citotóxico
em	prp	em
o	art	o
hemisfério	n	hemisfério
cerebral	adj	cerebral
direito	adj	direito
,	punc	,
com	prp	com
predomínio	n	predomínio
cortical	adj	cortical
,	punc	,
e	conj-c	e
demonstrou	v-fin	demonstrar
atrofia	n	atrofia
de	prp	de
o	art	o
hemisfério	n	hemisfério
cerebral	adj	cerebral
esquerdo	adj	esquerdo
.	punc	.
Considerou	v-fin	considerar
se	pron-pers	se
o	art	o
diagnóstico	n	diagnóstico
EHF	prop	ehf
e	conj-c	e
instituiu-	v-fin	instituir-
se	pron-pers	se
verapamil	adj	verapamil
endovenoso	adj	endovenoso
,	punc	,
com	prp	com
progressiva	n	progressiva
melhoria	adj	melhoria
clínica	n	clínica
e	conj-c	e
regressão	n	regressão
de	prp	de
a	art	o
cefaleia	n	cefaleia
.	punc	.
