Mulher	prop	mulher
,	punc	,
21	num	21
anos	n	ano
,	punc	,
com	prp	com
2	num	2
meses	n	mÃªs
de	prp	de
evolução	n	evolução
de	prp	de
cefaleia	n	cefaleia
periorbitária	adj	periorbitária
e	conj-c	e
frontal	adj	frontal
esquerda	n	esquerda
,	punc	,
pulsátil	adj	pulsátil
,	punc	,
acompanhada	v-pcp	acompanhar
de	prp	de
sinais	n	sinal
disautonómicos	adj	disautonómico
ipsilaterais	adj	ipsilateral
com	prp	com
intensidade	n	intensidade
8-	num	8-
9/10	num	9/10
e	conj-c	e
associada	v-pcp	associar
a	prp	a
náuseas	n	náusea
e	conj-c	e
fotofobia	n	fotofobia
em	prp	em
as	art	o
exacerbações	n	exacerbação
.	punc	.
Iniciou	v-fin	iniciar
verapamilo	n	verapamilo
,	punc	,
com	prp	com
remissão	n	remissão
completa	adj	completa
a	prp	a
o	art	o
fim	n	fim
de	prp	de
2	num	2
semanas	n	semana
.	punc	.
Após	prp	após
1	num	1
semana	n	semana
em	prp	em
remissão	n	remissão
,	punc	,
suspendeu	v-fin	suspender
o	art	o
verapamilo	n	verapamilo
,	punc	,
com	prp	com
recidiva	n	recidiva
3	num	3
dias	n	dia
depois	adv	depois
,	punc	,
com	prp	com
as	art	o
mesmas	pron-det	mesmo
características	n	característica
mas	conj-c	mas
agora	adv	agora
a	prp	a
a	art	o
direita	n	direita
,	punc	,
com	prp	com
sinais	n	sinal
disautonómicos	adj	disautonómico
ipsilaterais	adj	ipsilateral
.	punc	.
Reiniciou	v-fin	reiniciar
verapamilo	n	verapamilo
,	punc	,
sem	prp	sem
efeito	n	efeito
.	punc	.
Foi	v-fin	ser
em	prp	em
essa	pron-det	esse
altura	n	altura
observada	v-pcp	observar
em	prp	em
consulta	n	consulta
,	punc	,
sendo	v-ger	ser
o	art	o
exame	n	exame
neurológico	adj	neurológico
normal	adj	normal
,	punc	,
e	conj-c	e
investigação	n	investigação
com	prp	com
RMN	prop	rmn
cerebral	adj	cerebral
,	punc	,
normal	adj	normal
.	punc	.
Iniciou	v-fin	iniciar
indometacina	n	indometacina
,	punc	,
com	prp	com
remissão	n	remissão
completa	adj	completa
durante	prp	durante
4	num	4
dias	n	dia
e	conj-c	e
posterior	adj	posterior
ressurgimento	n	ressurgimento
de	prp	de
cefaleia	n	cefaleia
holocraniana	adj	holocraniana
,	punc	,
pulsátil	adj	pulsátil
,	punc	,
intensidade	n	intensidade
7/10	num	7/10
,	punc	,
associada	v-pcp	associar
a	prp	a
náuseas	n	náusea
,	punc	,
com	prp	com
duração	n	duração
de	prp	de
várias	pron-det	vários
horas	n	hora
.	punc	.
Aumentou	v-fin	aumentar
indometacina	n	indometacina
para	prp	para
150mg	num	150mg
/	punc	/
dia	n	dia
,	punc	,
mantendo	v-ger	manter
3-4	num	3-4
episódios	n	episódio
/	punc	/
semana	n	semana
de	prp	de
cefaleia	n	cefaleia
com	prp	com
estas	pron-det	este
caraterísticas	n	caraterística
.	punc	.
Teve	prop	teve
remissão	v-fin	remir
completa	adj	completa
com	prp	com
indometacina	n	indometacina
75mg	num	75mg
/	punc	/
noite	n	noite
e	conj-c	e
amitriptilina	n	amitriptilina
10mg	num	10mg
/	punc	/
noite	n	noite
,	punc	,
e	conj-c	e
posterior	adj	posterior
recidiva	n	recidiva
de	prp	de
cefaleia	n	cefaleia
periorbitária	adj	periorbitária
direita	n	direita
,	punc	,
com	prp	com
sinais	n	sinal
disautonómicos	adj	disautonómico
ipsilaterais	adj	ipsilateral
,	punc	,
com	prp	com
suspensão	n	suspensão
de	prp	de
a	art	o
indometacina	n	indometacina
.	punc	.
Retomou	v-fin	retomar
indometacina	n	indometacina
150mg	num	150mg
/	punc	/
dia	n	dia
,	punc	,
ficando	v-ger	ficar
assintomática	art	assintomático
.	punc	.
Foi	v-fin	ser
tentada	v-pcp	tentar
substituição	n	substituição
de	prp	de
indometacina	n	indometacina
por	prp	por
topiramato	n	topiramato
,	punc	,
sem	prp	sem
sucesso	n	sucesso
.	punc	.
A	art	o
doente	adj	doente
encontra	v-fin	encontrar
se	pron-pers	se
em	prp	em
este	pron-det	este
momento	n	momento
assintomática	adj	assintomática
sob	prp	sob
indometacina	n	indometacina
25mg	num	25mg
2id	num	2id
.	punc	.
