Mulher	prop	mulher
de	prp	de
86	num	86
anos	n	ano
com	prp	com
hemiparésia	n	hemiparésia
direita	adj	direito
sintomática	adj	sintomática
a	prp	a
enfarte	n	enfarte
cerebral	adj	cerebral
cortico-subcortical	adj	cortico-subcortical
insular	adj	insular
esquerdo	n	esquerdo
.	punc	.
Dez	num	dez
dias	n	dia
após	prp	após
o	art	o
enfarte	n	enfarte
iniciou	v-fin	iniciar
movimentos	n	movimento
involuntários	adj	involuntário
de	prp	de
os	art	o
membros	n	membro
direitos	n	direito
de	prp	de
predomínio	n	predomínio
distal	adj	distal
,	punc	,
irregulares	adj	irregular
,	punc	,
bruscos	adj	brusco
e	conj-c	e
sem	prp	sem
ritmo	n	ritmo
.	punc	.
Apresentou	v-fin	apresentar
melhoria	n	melhoria
clínica	adj	clínica
sem	prp	sem
necessidade	n	necessidade
de	prp	de
tratamento	n	tratamento
.	punc	.
