Mulher	prop	mulher
de	prp	de
68	num	68
anos	n	ano
,	punc	,
com	prp	com
história	n	história
familiar	adj	familiar
de	prp	de
tremor	n	tremor
essencial	adj	essencial
,	punc	,
submetida	v-pcp	submeter
a	prp	a
estimulação	n	estimulação
cerebral	adj	cerebral
profunda	adj	profundo
(	punc	(
ECP	prop	ecp
)	punc	)
de	prp	de
o	art	o
núcleo	n	núcleo
Vim	prop	vim
de	prp	de
o	art	o
tálamo	n	tálamo
por	prp	por
a	art	o
presença	n	presença
de	prp	de
tremor	n	tremor
essencial	adj	essencial
incapacitante	adj	incapacitante
apesar	adv	apesar
de	prp	de
a	art	o
terapêutica	n	terapêutica
múltipla	adj	múltipla
.	punc	.
A	art	o
doença	n	doença
caracterizava	v-fin	caracterizar
se	pron-pers	se
por	prp	por
:	punc	:
tremor	n	tremor
cefálico	adj	cefálico
irregular	adj	irregular
,	punc	,
mandibular	adj	mandibular
e	conj-c	e
de	prp	de
a	art	o
voz	n	voz
moderado	v-pcp	moderar
;	punc	;
tremor	n	tremor
em	prp	em
repouso	n	repouso
,	punc	,
bilateral	adj	bilateral
,	punc	,
rápido	adj	rápido
,	punc	,
de	prp	de
grande	adj	grande
amplitude	n	amplitude
e	conj-c	e
irregular	adj	irregular
,	punc	,
grave	adj	grave
em	prp	em
os	art	o
membros	n	membro
superiores	adj	superior
e	conj-c	e
moderado	v-pcp	moderar
em	prp	em
os	art	o
inferiores	n	inferior
,	punc	,
sem	prp	sem
latência	n	latência
;	punc	;
tremor	n	tremor
postural	adj	postural
,	punc	,
grave	adj	grave
e	conj-c	e
bilateral	adj	bilateral
,	punc	,
rápido	adj	rápido
e	conj-c	e
irregular	adj	irregular
,	punc	,
de	prp	de
grande	adj	grande
amplitude	n	amplitude
,	punc	,
agravando	v-ger	agravar
em	prp	em
diferentes	pron-det	diferente
posições	n	posição
de	prp	de
os	art	o
membros	n	membro
superiores	adj	superior
;	punc	;
tremor	n	tremor
cinético	adj	cinético
simples	adj	simples
e	conj-c	e
intencional	adj	intencional
graves	n	grave
.	punc	.
Existia	v-fin	existir
distonia	n	distonia
cervical	adj	cervical
ligeira	adj	ligeiro
com	prp	com
laterocollis	n	laterocollil
esquerdo	adj	esquerdo
e	conj-c	e
distonia	n	distonia
de	prp	de
as	art	o
mãos	n	mão
e	conj-c	e
de	prp	de
o	art	o
pé	n	pé
direito	adj	direito
.	punc	.
Sem	prp	sem
bradicinésia	n	bradicinésia
ou	conj-c	ou
ataxia	n	ataxia
,	punc	,
sem	prp	sem
resposta	n	resposta
a	prp	a
a	art	o
levodopa	n	levodopa
.	punc	.
Após	prp	após
a	art	o
ECP	prop	ecp
,	punc	,
observou	v-fin	observar
se	pron-pers	se
de	prp	de
imediato	adj	imediato
remissão	n	remissão
quase	adv	quase
total	adj	total
de	prp	de
o	art	o
tremor	n	tremor
de	prp	de
acção	n	acção
,	punc	,
postural	adj	postural
ou	conj-c	ou
cinético	adj	cinético
.	punc	.
A	art	o
doente	adj	doente
adquiriu	v-fin	adquirir
autonomia	n	autonomia
em	prp	em
tarefas	n	tarefa
como	adv	como
escrever	v-fin	escrever
ou	conj-c	ou
comer	v-inf	comer
.	punc	.
Persistiu	v-fin	persistir
em	prp	em
o	art	o
entanto	n	entanto
o	art	o
tremor	n	tremor
em	prp	em
repouso	n	repouso
e	conj-c	e
proximal	n	proximal
de	prp	de
o	art	o
braço	n	braço
direito	adj	direito
,	punc	,
de	prp	de
moderada	n	moderado
amplitude	adj	amplitude
,	punc	,
rápido	adj	rápido
,	punc	,
irregular	adj	irregular
,	punc	,
agravando	v-ger	agravar
com	prp	com
diferentes	pron-det	diferente
posições	n	posição
,	punc	,
com	prp	com
pouco	pron-det	pouco
envolvimento	n	envolvimento
de	prp	de
o	art	o
punho	n	punho
e	conj-c	e
dedos	n	dedo
,	punc	,
que	pron-indp	que
agrava	v-fin	agravar
com	prp	com
o	art	o
estimulador	n	estimulador
desligado	v-pcp	desligar
.	punc	.
Associam	v-fin	associar
se	pron-pers	se
posturas	n	postura
distónicas	adj	distónica
de	prp	de
o	art	o
membro	n	membro
superior	adj	superior
direito	n	direito
.	punc	.
Sem	prp	sem
ataxia	n	ataxia
apendicular	adj	apendicular
ou	conj-c	ou
de	prp	de
a	art	o
marcha	n	marcha
.	punc	.
