Doente	adv	doente
de	prp	de
o	art	o
sexo	n	sexo
feminino	adj	feminino
,	punc	,
de	prp	de
36	num	36
anos	n	ano
de	prp	de
idade	n	idade
,	punc	,
com	prp	com
história	n	história
familiar	adj	familiar
de	prp	de
neuropatia	n	neuropatia
sem	prp	sem
diagnóstico	n	diagnóstico
em	prp	em
o	art	o
pai	n	pai
.	punc	.
Apresenta	v-fin	apresentar
,	punc	,
desde	prp	desde
os	art	o
30	num	30
anos	n	ano
,	punc	,
fraqueza	n	fraqueza
e	conj-c	e
queixas	n	queixa
sensitivas	adj	sensitivo
em	prp	em
os	art	o
membros	n	membro
inferiores	adj	inferior
.	punc	.
Em	prp	em
O	art	o
exame	n	exame
neurológico	adj	neurológico
observam	v-fin	observar
se	pron-pers	se
pes	n	pe
cavus	adj	cavu
,	punc	,
membros	n	membro
inferiores	adj	inferior
com	prp	com
aspecto	n	aspecto
em	prp	em
forma	n	forma
de	prp	de
garrafa	n	garrafa
de	prp	de
chamapanhe	n	chamapanhe
invertida	v-pcp	inverter
,	punc	,
défice	n	défice
motor	adj	motor
distal	adj	distal
(	punc	(
G3	prop	g3
dorsiflexão	n	dorsiflexão
)	punc	)
,	punc	,
hipostesia	n	hipostesia
álgica	adj	álgica
em	prp	em
meia	n	meia
baixa	adj	baixo
,	punc	,
hipopalestesia	n	hipopalestesia
,	punc	,
arreflexia	n	arreflexia
generalizada	v-pcp	generalizar
,	punc	,
e	conj-c	e
marcha	n	marcha
com	prp	com
steppage	n	steppage
assimétrica	adj	assimétrica
(	punc	(
de	prp	de
predomínio	n	predomínio
esquerdo	adj	esquerdo
)	punc	)
.	punc	.
O	art	o
estudo	n	estudo
electromiográfico	adj	electromiográfico
demonstrou	v-fin	demonstrar
uma	art	um
polineuropatia	n	polineuropatia
axonal	adj	axonal
sensitivo-motora	adj	sensitivo-motor
.	punc	.
O	art	o
estudo	n	estudo
genético	adj	genético
revelou	v-fin	revelar
uma	art	um
mutação	n	mutação
em	prp	em
heterozigotia	n	heterozigotia
c.	n	c.
346C>T	num	346c>t
(	punc	(
p.	n	p.
Arg116Cys	prop	arg116cys
)	punc	)
em	prp	em
o	art	o
gene	n	gene
MPZ	prop	mpz
.	punc	.
