Mulher	prop	mulher
de	prp	de
51	num	51
anos	n	ano
com	prp	com
quatro	num	quatro
episódios	n	episódio
de	prp	de
cefaleia	n	cefaleia
hemicraniana	adj	hemicraniana
esquerda	adj	esquerdo
explosiva	adj	explosivo
,	punc	,
coincidente	adv	coincidente
com	prp	com
o	art	o
orgasmo	n	orgasmo
,	punc	,
consecutivos	adj	consecutivo
,	punc	,
de	prp	de
caráter	n	caráter
pulsátil	adj	pulsátil
,	punc	,
com	prp	com
irradiação	n	irradiação
ocular	adj	ocular
e	conj-c	e
nasal	adj	nasal
ipsilaterais	adj	ipsilateral
,	punc	,
cessando	v-ger	cessar
poucos	pron-det	pouco
minutos	n	minuto
depois	adv	depois
.	punc	.
Em	prp	em
dois	num	dois
de	prp	de
estes	pron-det	este
episódios	n	episódio
,	punc	,
manteve	v-fin	manter
dor	n	dor
em	prp	em
moedeira	n	moedeiro
,	punc	,
menos	adv	menos
intensa	adj	intenso
,	punc	,
durante	prp	durante
24	num	24
a	prp	a
48	num	48
horas	n	hora
,	punc	,
sem	prp	sem
alívio	n	alívio
significativo	adj	significativo
com	prp	com
paracetamol	n	paracetamol
.	punc	.
Referiu	v-fin	referir
também	adv	também
episódio	n	episódio
único	adj	único
de	prp	de
cefaleia	n	cefaleia
,	punc	,
com	prp	com
as	art	o
mesmas	pron-det	mesmo
características	n	característica
e	conj-c	e
de	prp	de
curta	adj	curto
duração	n	duração
,	punc	,
após	prp	após
esforço	n	esforço
intenso	adj	intenso
em	prp	em
a	art	o
dança	n	dança
.	punc	.
Desde	prp	desde
essa	pron-det	esse
altura	n	altura
,	punc	,
manteve	v-fin	manter
abstinência	n	abstinência
sexual	adj	sexual
e	conj-c	e
evicção	n	evicção
de	prp	de
esforços	n	esforço
intensos	adj	intenso
.	punc	.
Recusou	v-fin	recusar
tratamento	n	tratamento
farmacológico	adj	farmacológico
.	punc	.
A	art	o
ressonância	n	ressonância
magnética	adj	magnética
encefálica	v-fin	encefáliquir>
foi	v-fin	ser
normal	adj	normal
e	conj-c	e
a	art	o
angio-tomografia	n	angio-tomografia
cerebral	adj	cerebral
revelou	v-fin	revelar
um	art	um
aneurisma	n	aneurisma
de	prp	de
o	art	o
segmento	n	segmento
supracavernoso	adj	supracavernoso
de	prp	de
a	art	o
artéria	n	artéria
carótida	v-pcp	carótidar
interna	adj	interno
esquerda	n	esquerda
(	punc	(
5	num	5
mm	n	mm
)	punc	)
e	conj-c	e
um	art	um
aneurisma	n	aneurisma
de	prp	de
a	art	o
artéria	n	artéria
comunicante	adj	comunicante
anterior	adj	anterior
(	punc	(
3	num	3
mm	n	mm
)	punc	)
.	punc	.
Optou	v-fin	optar
se	pron-pers	se
por	prp	por
vigilância	n	vigilância
clínica	adj	clínica
e	conj-c	e
imagiológica	adj	imagiológica
.	punc	.
