Mulher	prop	mulher
de	prp	de
48	num	48
anos	n	ano
com	prp	com
lesões	n	lesão
isquémicas	adj	isquémica
extensas	adj	extenso
em	prp	em
as	art	o
áreas	n	área
vasculares	adj	vascular
de	prp	de
fronteira	n	fronteira
de	prp	de
o	art	o
hemisfério	n	hemisfério
esquerdo	adj	esquerdo
,	punc	,
após	prp	após
ter	v-inf	ter
sofrido	v-pcp	sofrer
dissecção	n	dissecção
de	prp	de
as	art	o
artérias	n	artéria
carótida	prp	carótida
esquerda	n	esquerda
e	conj-c	e
vertebral	n	vertebral
direita	adj	direito
em	prp	em
a	art	o
sequência	n	sequência
de	prp	de
acidente	n	acidente
de	prp	de
viação	n	viação
,	punc	,
em	prp	em
Janeiro	n	janeiro
de	prp	de
1999	num	1999
.	punc	.
Em	prp	em
A	art	o
primeira	adj	primeira
avaliação	n	avaliação
de	prp	de
linguagem	n	linguagem
,	punc	,
um	num	um
mês	n	mês
após	prp	após
a	art	o
instalação	n	instalação
de	prp	de
os	art	o
sintomas	n	sintoma
foi	v-fin	ser
diagnosticada	v-pcp	diagnosticar
uma	art	um
afasia	n	afasia
transcortical	adj	transcortical
mista	v-pcp	misturar
com	prp	com
um	art	um
defeito	n	defeito
muito	adv	muito
acentuado	v-pcp	acentuar
em	prp	em
as	art	o
capacidades	n	capacidade
de	prp	de
leitura	n	leitura
e	conj-c	e
escrita	n	escrita
.	punc	.
Dezoito	num	dezoito
meses	n	mÃªs
depois	adv	depois
tinha	v-fin	ter
melhorado	v-pcp	melhorar
e	conj-c	e
apresentava	v-fin	apresentar
,	punc	,
então	adv	então
,	punc	,
uma	art	um
afasia	n	afasia
transcortical	adj	transcortical
motora	n	motora
com	prp	com
boa	adj	bom
compreensão	n	compreensão
de	prp	de
linguagem	n	linguagem
.	punc	.
A	art	o
leitura	n	leitura
em	prp	em
voz	n	voz
alta	adj	alto
evidenciava	v-fin	evidenciar
todas	pron-det	todo
as	art	o
características	n	característica
de	prp	de
uma	art	um
deep	n	deep
dyslexia	adj	dyslexia
.	punc	.
