Apresenta	v-fin	apresentar
se	pron-pers	se
o	art	o
caso	n	caso
de	prp	de
um	art	um
indivíduo	n	indivíduo
jovem	adj	jovem
de	prp	de
o	art	o
sexo	n	sexo
masculino	adj	masculino
com	prp	com
diagnóstico	n	diagnóstico
de	prp	de
neuropatia	n	neuropatia
hereditária	adj	hereditária
de	prp	de
Leber	prop	leber
(	punc	(
nt-11778	num	nt-11778
ADNmt	prop	adnmt
)	punc	)
com	prp	com
defeito	n	defeito
visual	adj	visual
e	conj-c	e
sintomatologia	n	sintomatologia
neurológica	adj	neurológica
extra-ocular	adj	extra-ocular
de	prp	de
episódios	n	episódio
autolimitados	v-pcp	autolimitar
de	prp	de
ataxia	n	ataxia
em	prp	em
a	art	o
marcha	n	marcha
e	conj-c	e
vómitos	n	vómito
incoercíveis	adj	incoercível
.	punc	.
